"source","destination","SimYear","dist_km","direction","SumParticles","SumParticlesReleasedSource","SourceNormRecruitment"
"Sitio Baybayon","Other",2011,NA,NA,458944,482112,0.951944776317536
"Wangag","Other",2012,NA,NA,230395,242048,0.951856656530936
"Sitio Tugas","Other",2014,NA,NA,101931,107136,0.951416890681004
"Sitio Lonas","Other",2011,NA,NA,227843,241056,0.94518701048719
"Sitio Baybayon","Other",2013,NA,NA,455380,482112,0.944552303199257
"Elementary School","Other",2012,NA,NA,228119,242048,0.942453562929667
"SF4","Other",2013,NA,NA,454179,482112,0.94206118080446
"Hicgop South","Other",2013,NA,NA,454076,482112,0.941847537501659
"SF3","Other",2014,NA,NA,504463,535680,0.941724537037037
"Magbangon","Other",2011,NA,NA,226961,241056,0.94152810965087
"SF6","Other",2013,NA,NA,226709,241056,0.940482709411921
"Poroc Rose","Other",2013,NA,NA,226638,241056,0.940188172043011
"SF6","Other",2011,NA,NA,226569,241056,0.939901931501394
"Hicgop South","Other",2012,NA,NA,454420,484096,0.938698109465891
"Elementary School","Other",2013,NA,NA,226265,241056,0.938640813752821
"San Agustin","Other",2010,NA,NA,85605,91264,0.937993075035063
"Magbangon","Other",2014,NA,NA,100436,107136,0.93746266427718
"Pangasugan","Other",2012,NA,NA,226747,242048,0.936785265732417
"Visca","Other",2012,NA,NA,226744,242048,0.936772871496563
"San Agustin","Other",2013,NA,NA,225786,241056,0.936653723616089
"SF6","Other",2012,NA,NA,226392,242048,0.935318614489688
"Poroc Rose","Other",2012,NA,NA,226313,242048,0.934992232945531
"Tamakin Dacot","Other",2013,NA,NA,450665,482112,0.934772418027346
"SF2","Other",2014,NA,NA,300061,321408,0.933582860414178
"Poroc San Flower","Other",2013,NA,NA,224994,241056,0.933368180007965
"Sitio Baybayon","Other",2012,NA,NA,450758,484096,0.931133494182972
"SF1","Other",2012,NA,NA,901350,968192,0.930962040586991
"SF6","Other",2010,NA,NA,84394,91264,0.924723877980365
"Poroc Rose","Other",2014,NA,NA,99023,107136,0.924273820191159
"SF4","Other",2012,NA,NA,446610,484096,0.922564945795875
"Elementary School","Other",2014,NA,NA,98806,107136,0.922248357228196
"Hicgop South","Other",2011,NA,NA,442166,482112,0.917143734236028
"Tamakin Dacot","Other",2012,NA,NA,442553,484096,0.914184376652565
"Hicgop South","Other",2014,NA,NA,195822,214272,0.913894489247312
"Pangasugan","Other",2011,NA,NA,220069,241056,0.912937242798354
"Elementary School","Other",2011,NA,NA,219890,241056,0.912194676755609
"Poroc San Flower","Other",2012,NA,NA,220461,242048,0.91081521020624
"SF5","Other",2013,NA,NA,2626444,2892672,0.907964677640604
"Pangasugan","Other",2014,NA,NA,97117,107136,0.906483348267622
"SF5","Other",2010,NA,NA,992442,1095168,0.906200692496494
"Caridad Cemetery","Other",2011,NA,NA,218251,241056,0.905395426788796
"Visca","Other",2014,NA,NA,96907,107136,0.904523222819594
"Caridad Cemetery","Other",2014,NA,NA,96592,107136,0.901583034647551
"San Agustin","Other",2011,NA,NA,217204,241056,0.901052037700783
"Wangag","Other",2014,NA,NA,96516,107136,0.900873655913978
"San Agustin","Other",2012,NA,NA,217283,242048,0.897685583024855
"SF1","Other",2014,NA,NA,384494,428544,0.897210088112306
"SF5","Other",2012,NA,NA,2595952,2904576,0.893745593160585
"Poroc San Flower","Other",2014,NA,NA,95663,107136,0.8929118130227
"SF1","Other",2011,NA,NA,860967,964224,0.8929118130227
"Visca","Other",2011,NA,NA,214668,241056,0.890531660692951
"SF4","Other",2014,NA,NA,190304,214272,0.888142174432497
"Poroc Rose","Other",2011,NA,NA,213983,241056,0.887689997345015
"Caridad Proper","Other",2014,NA,NA,94661,107136,0.883559214456392
"Poroc San Flower","Other",2011,NA,NA,211649,241056,0.878007599893801
"SF4","Other",2011,NA,NA,422414,482112,0.876174001061994
"San Agustin","Other",2014,NA,NA,93800,107136,0.875522700119474
"Sitio Lonas","Other",2013,NA,NA,209731,241056,0.87005094251958
"Gabas","Other",2010,NA,NA,79344,91264,0.869389901823282
"SF5","Other",2011,NA,NA,2509553,2892672,0.86755532601
"Sitio Baybayon","Other",2014,NA,NA,185135,214272,0.864018630525687
"Gabas","Other",2013,NA,NA,207761,241056,0.861878567635736
"SF4","Other",2010,NA,NA,153769,182528,0.842440611851332
"Tamakin Dacot","Other",2011,NA,NA,405221,482112,0.840512163148812
"Tamakin Dacot","Other",2010,NA,NA,153157,182528,0.839087701612903
"Pangasugan","Other",2010,NA,NA,76403,91264,0.837164708976157
"Sitio Lonas","Other",2012,NA,NA,201550,242048,0.832686078794289
"Poroc San Flower","Other",2010,NA,NA,75557,91264,0.82789489831697
"SF5","Other",2014,NA,NA,1053961,1285632,0.819799911638789
"SF6","Other",2014,NA,NA,87488,107136,0.816606929510155
"Gabas","Other",2012,NA,NA,195046,242048,0.805815375462718
"Visca","Other",2010,NA,NA,72739,91264,0.797017443899018
"Poroc Rose","Other",2010,NA,NA,72547,91264,0.794913657082749
"Gabas","Other",2011,NA,NA,188557,241056,0.782212431966016
"Tamakin Dacot","Other",2014,NA,NA,167512,214272,0.781772700119474
"CAI","CAI",2011,0,62,45175405,60022944,0.752635608809858
"Gabas","Other",2014,NA,NA,80600,107136,0.752314814814815
"CAI","CAI",2010,0,62,17036815,22724736,0.749703538910199
"Sitio Lonas","Other",2014,NA,NA,78977,107136,0.737165845280765
"CAI","CAI",2014,0,62,18066287,26676864,0.677226790975131
"CAI","CAI",2013,0,62,39846285,60022944,0.663850893418357
"CAI","CAI",2012,0,62,39587335,60269952,0.656833690526251
"CAI","Other",2012,NA,NA,20682080,60269952,0.343157399561227
"CAI","Other",2013,NA,NA,20176640,60022944,0.336148790036024
"CAI","Other",2014,NA,NA,8610554,26676864,0.322772346854563
"CAI","Other",2010,NA,NA,5687921,22724736,0.250296461089801
"CAI","Other",2011,NA,NA,14847537,60022944,0.247364357869551
"Tamakin Dacot","Tamakin Dacot",2014,9.49352979660034e-05,62,33808,214272,0.157780764635603
"SF5","SF5",2014,NA,NA,172734,1285632,0.134357265531661
"Visca","SF3",2010,NA,NA,12168,91264,0.133327489481066
"Tamakin Dacot","Tamakin Dacot",2011,9.49352979660034e-05,62,64275,482112,0.133319643568299
"Tamakin Dacot","Tamakin Dacot",2010,9.49352979660034e-05,62,22965,182528,0.125816313113604
"Poroc Rose","SF3",2010,NA,NA,10790,91264,0.118228436185133
"Sitio Lonas","SF3",2014,NA,NA,12180,107136,0.113687275985663
"Pangasugan","SF3",2010,NA,NA,9154,91264,0.100302419354839
"SF6","Tamakin Dacot",2014,NA,NA,9689,107136,0.090436454599761
"SF4","SF3",2010,NA,NA,16222,182528,0.0888740357643759
"Poroc San Flower","SF3",2010,NA,NA,8086,91264,0.0886001051893408
"Caridad Proper","SF2",2014,NA,NA,8776,107136,0.0819145758661888
"SF5","SF5",2011,NA,NA,219149,2892672,0.0757600585202885
"Sitio Lonas","Sitio Lonas",2014,0,62,7197,107136,0.0671762992831541
"SF5","SF5",2012,NA,NA,194482,2904576,0.0669571049268465
"Sitio Lonas","SF3",2012,NA,NA,16022,242048,0.0661934822845056
"Visca","SF3",2011,NA,NA,15514,241056,0.0643584893136864
"SF4","SF3",2011,NA,NA,30997,482112,0.0642941889021638
"SF5","SF5",2013,NA,NA,184124,2892672,0.0636518761892119
"Poroc San Flower","SF3",2011,NA,NA,15254,241056,0.0632799017655648
"San Agustin","SF3",2011,NA,NA,14651,241056,0.0607784083366521
"Gabas","SF5",2014,NA,NA,6279,107136,0.0586077508960573
"Caridad Cemetery","SF2",2011,NA,NA,13698,241056,0.0568249701314217
"Poroc Rose","SF3",2011,NA,NA,13254,241056,0.0549830744723218
"San Agustin","SF3",2014,NA,NA,5861,107136,0.0547061678614098
"Hicgop South","SF2",2011,NA,NA,25175,482112,0.0522181567768485
"Caridad Cemetery","SF2",2014,NA,NA,5223,107136,0.0487511200716846
"Gabas","SF4",2011,NA,NA,11717,241056,0.0486069626974645
"Pangasugan","SF3",2011,NA,NA,11583,241056,0.0480510752688172
"Elementary School","SF2",2011,NA,NA,11503,241056,0.0477192021770875
"San Agustin","SF3",2012,NA,NA,10866,242048,0.0448919222633527
"Sitio Lonas","Sitio Lonas",2012,0,62,10535,242048,0.0435244249074564
"Gabas","SF5",2011,NA,NA,10306,241056,0.0427535510420815
"Sitio Lonas","SF3",2011,NA,NA,10075,241056,0.0417952674897119
"SF6","Haina",2014,NA,NA,4466,107136,0.0416853345280765
"Gabas","SF5",2010,NA,NA,3753,91264,0.0411224579242637
"SF5","SF5",2010,NA,NA,44976,1095168,0.0410676718092567
"Tamakin Dacot","Haina",2014,1.32935691869812,36,8633,214272,0.0402899118876941
"SF6","SF6",2014,NA,NA,4308,107136,0.0402105734767025
"Gabas","SF3",2010,NA,NA,3603,91264,0.0394788744740533
"Tamakin Dacot","Tamakin Dacot",2012,9.49352979660034e-05,62,18535,484096,0.0382878602591222
"Sitio Lonas","SF3",2013,NA,NA,9130,241056,0.0378750165936546
"Gabas","SF3",2012,NA,NA,9063,242048,0.0374429865150714
"SF1","SF1",2011,NA,NA,35424,964224,0.0367383512544803
"Gabas","SF3",2011,NA,NA,8840,241056,0.0366719766361343
"Visca","SF3",2014,NA,NA,3913,107136,0.0365236708482676
"Gabas","SF3",2014,NA,NA,3827,107136,0.0357209528076464
"SF4","SF3",2014,NA,NA,7619,214272,0.0355576090203106
"SF1","SF2",2014,NA,NA,15094,428544,0.0352215875149343
"Gabas","Gabas",2014,0,62,3769,107136,0.0351795848267622
"Pangasugan","SF3",2014,NA,NA,3747,107136,0.0349742383512545
"SF1","SF2",2011,NA,NA,33530,964224,0.034774077392805
"Gabas","SF4",2014,NA,NA,3619,107136,0.0337794952210275
"SF6","Tamakin Dacot",2011,NA,NA,8098,241056,0.0335938537103412
"Poroc San Flower","SF3",2014,NA,NA,3505,107136,0.0327154271206691
"Gabas","Gabas",2012,0,62,7845,242048,0.0324109267583289
"Sitio Baybayon","SF1",2014,NA,NA,6941,214272,0.0323934065113501
"SF2","SF2",2014,NA,NA,10381,321408,0.0322985115491836
"Tamakin Dacot","Tamakin Dacot",2013,9.49352979660034e-05,62,15567,482112,0.0322891776184787
"SF6","Tamakin Dacot",2010,NA,NA,2929,91264,0.032093706171108
"Sitio Lonas","Sitio Lonas",2013,0,62,7365,241056,0.0305530665073676
"Poroc San Flower","SF3",2012,NA,NA,7272,242048,0.0300436277102062
"San Agustin","SF3",2010,NA,NA,2733,91264,0.0299460904628331
"Gabas","SF3",2013,NA,NA,7149,241056,0.0296570091596973
"SF6","Tamakin Dacot",2013,NA,NA,6791,241056,0.0281718770742068
"Gabas","SF5",2012,NA,NA,6784,242048,0.0280274986779482
"Poroc San Flower","Sitio Lonas",2010,1.17254142021535,15,2518,91264,0.0275902875175316
"Poroc San Flower","SF3",2013,NA,NA,6650,241056,0.0275869507500332
"Wangag","Sitio Baybayon",2014,26.862065428135,284,2898,107136,0.0270497311827957
"Sitio Baybayon","Sitio Baybayon",2014,9.49352979660034e-05,62,5762,214272,0.0268910543608124
"Gabas","SF4",2012,NA,NA,6473,242048,0.0267426295610788
"Wangag","SF1",2014,NA,NA,2859,107136,0.0266857078853047
"SF4","SF3",2012,NA,NA,12538,484096,0.0258998215230037
"Sitio Lonas","SF2",2012,NA,NA,6131,242048,0.0253296866737176
"Hicgop South","SF2",2014,NA,NA,5427,214272,0.0253276209677419
"SF1","SF2",2012,NA,NA,24286,968192,0.0250838676626124
"SF6","Tamakin Dacot",2012,NA,NA,6029,242048,0.0249082826546801
"Magbangon","SF1",2011,NA,NA,5932,241056,0.0246083897517589
"Sitio Lonas","SF2",2013,NA,NA,5923,241056,0.0245710540289393
"Gabas","Sitio Lonas",2014,5.29391347715393,16,2632,107136,0.0245669056152927
"SF4","SF3",2013,NA,NA,11797,482112,0.0244694178945971
"Sitio Lonas","SF2",2014,NA,NA,2611,107136,0.0243708930704898
"Cabatoan","CAI",2013,36.6107468025567,19,5846,241056,0.0242516261781495
"San Agustin","SF3",2013,NA,NA,5808,241056,0.0240939864595779
"Gabas","SF5",2013,NA,NA,5597,241056,0.0232186711801407
"Elementary School","SF2",2014,NA,NA,2436,107136,0.0227374551971326
"Gabas","Gabas",2011,0,62,5473,241056,0.0227042678879596
"SF5","SF3",2010,NA,NA,24744,1095168,0.022593793828892
"Poroc Rose","SF3",2013,NA,NA,5365,241056,0.0222562392141245
"Poroc Rose","SF3",2014,NA,NA,2363,107136,0.022056078255675
"SF3","SF2",2014,NA,NA,11778,535680,0.0219870071684588
"Caridad Proper","SF2",2011,NA,NA,5295,241056,0.021965850258861
"Tamakin Dacot","SF5",2012,NA,NA,10580,484096,0.0218551692226335
"SF4","Sitio Lonas",2010,NA,NA,3962,182528,0.0217062587657784
"Poroc San Flower","San Agustin",2010,0.575632701262051,61,1953,91264,0.0213994565217391
"SF6","SF6",2010,NA,NA,1948,91264,0.0213446704067321
"Poroc Rose","Sitio Lonas",2010,2.11528043119948,160,1942,91264,0.0212789270687237
"Caridad Cemetery","CAI",2013,37.5119107683828,13,5108,241056,0.0211900969069428
"Elementary School","SF2",2013,NA,NA,5105,241056,0.0211776516660029
"San Agustin","Sitio Lonas",2014,0.604019027624227,156,2267,107136,0.0211600209080048
"Sitio Baybayon","SF2",2014,NA,NA,4455,214272,0.0207913306451613
"Elementary School","SF2",2012,NA,NA,4976,242048,0.0205579058699101
"Hicgop South","SF2",2012,NA,NA,9904,484096,0.0204587519830777
"SF5","SF3",2011,NA,NA,58983,2892672,0.0203904901765565
"Gabas","Visca",2014,1.9629852193109,72,2183,107136,0.0203759707287933
"SF4","Sitio Lonas",2014,NA,NA,4352,214272,0.020310633213859
"Visca","SF3",2012,NA,NA,4895,242048,0.0202232615018509
"Hicgop South","SF2",2013,NA,NA,9571,482112,0.0198522335059073
"Poroc San Flower","Sitio Lonas",2014,1.17254142021535,15,2124,107136,0.0198252688172043
"Pangasugan","SF3",2012,NA,NA,4775,242048,0.0197274920676891
"Elementary School","SF3",2014,NA,NA,2106,107136,0.0196572580645161
"Caridad Proper","CAI",2013,37.6221874340169,12,4680,241056,0.0194145758661888
"Visca","SF3",2013,NA,NA,4657,241056,0.0193191623523165
"Poroc Rose","SF3",2012,NA,NA,4675,242048,0.0193143508725542
"SF6","SF5",2012,NA,NA,4669,242048,0.0192895624008461
"Sitio Tugas","SF3",2014,NA,NA,2055,107136,0.0191812275985663
"Sitio Tugas","CAI",2012,38.1435748644816,10,4533,242048,0.0187276903754627
"SF4","San Agustin",2010,NA,NA,3397,182528,0.0186108432678822
"Sitio Baybayon","Sitio Baybayon",2012,9.49352979660034e-05,62,8856,484096,0.0182938921205711
"Elementary School","SF3",2010,NA,NA,1658,91264,0.0181670757363254
"Other","CAI",2013,NA,NA,19819578,1092947904,0.0181340555459814
"Gabas","Visca",2011,1.9629852193109,72,4354,241056,0.0180621930173901
"SF1","SF1",2014,NA,NA,7694,428544,0.0179538157108722
"Magbangon","CAI",2013,36.5369117565946,20,4322,241056,0.0179294437806983
"Sitio Baybayon","SF1",2012,NA,NA,8595,484096,0.0177547428609201
"Gabas","Pangasugan",2014,NA,NA,1897,107136,0.0177064665471924
"SF6","SF5",2010,NA,NA,1603,91264,0.0175644284712482
"Sitio Lonas","Hicgop South",2014,4.86139751953595,82,1868,107136,0.0174357825567503
"Hicgop South","SF3",2014,NA,NA,3712,214272,0.0173237753882915
"SF6","SF5",2013,NA,NA,4140,241056,0.0171744324970131
"Tamakin Dacot","SF6",2014,NA,NA,3678,214272,0.0171650985663082
"Gabas","SF4",2013,NA,NA,4104,241056,0.0170250896057348
"Pangasugan","SF2",2010,NA,NA,1552,91264,0.0170056100981767
"Other","CAI",2012,NA,NA,18625899,1097445632,0.0169720471400992
"Sitio Lonas","Hicgop South",2013,4.86139751953595,82,4083,241056,0.0169379729191557
"Sitio Baybayon","SF1",2011,NA,NA,8165,482112,0.0169358987123324
"Caridad Cemetery","SF3",2014,NA,NA,1810,107136,0.0168944145758662
"Poroc Rose","SF2",2010,NA,NA,1479,91264,0.0162057328190743
"Magbangon","SF1",2014,NA,NA,1726,107136,0.0161103643966547
"Tamakin Dacot","SF5",2013,NA,NA,7765,482112,0.0161062159830081
"San Agustin","Sitio Lonas",2012,0.604019027624227,156,3896,242048,0.0160959809624537
"Sitio Baybayon","Sitio Baybayon",2013,9.49352979660034e-05,62,7746,482112,0.0160668060533652
"SF1","CAI",2013,NA,NA,15325,964224,0.0158936097836187
"Sitio Lonas","San Agustin",2014,0.604019027624227,305,1696,107136,0.0158303464755078
"San Agustin","SF2",2014,NA,NA,1695,107136,0.0158210125448029
"Wangag","Sitio Baybayon",2012,26.862065428135,284,3810,242048,0.0157406795346378
"Visca","Elementary School",2010,6.39564840604425,57,1411,91264,0.015460641654979
"Gabas","Sitio Lonas",2012,5.29391347715393,16,3728,242048,0.0154019037546272
"Caridad Cemetery","SF1",2011,NA,NA,3707,241056,0.015378169388026
"SF3","SF3",2010,NA,NA,6958,456320,0.0152480715287518
"San Agustin","Sitio Lonas",2010,0.604019027624227,156,1382,91264,0.0151428821879383
"Poroc Rose","San Agustin",2010,1.51127255483946,162,1376,91264,0.0150771388499299
"Cabatoan","SF1",2011,NA,NA,3616,241056,0.0150006637461835
"Caridad Cemetery","SF2",2012,NA,NA,3611,242048,0.0149185285563194
"Tamakin Dacot","SF5",2010,NA,NA,2721,182528,0.0149073018934081
"Gabas","Pangasugan",2011,NA,NA,3589,241056,0.0148886565777247
"SF4","San Agustin",2011,NA,NA,7043,482112,0.0146086386565777
"Pangasugan","Sitio Lonas",2014,NA,NA,1562,107136,0.0145795997610514
"Visca","Sitio Lonas",2014,3.3797826959065,159,1556,107136,0.014523596176822
"Poroc San Flower","San Agustin",2011,0.575632701262051,61,3495,241056,0.0144987056949423
"Magbangon","SF1",2012,NA,NA,3486,242048,0.0144021020624008
"Caridad Proper","SF3",2014,NA,NA,1533,107136,0.0143089157706093
"Poroc San Flower","Sitio Lonas",2011,1.17254142021535,15,3357,241056,0.0139262246117085
"Tamakin Dacot","Haina",2012,1.32935691869812,36,6733,484096,0.0139083983342147
"Pangasugan","SF5",2014,NA,NA,1489,107136,0.0138982228195938
"Visca","Sitio Lonas",2010,3.3797826959065,159,1263,91264,0.0138389726507714
"Poroc San Flower","San Agustin",2014,0.575632701262051,61,1481,107136,0.0138235513739546
"Sitio Baybayon","Sitio Baybayon",2011,9.49352979660034e-05,62,6642,482112,0.0137768817204301
"Gabas","Gabas",2013,0,62,3314,241056,0.0137478428249038
"Tamakin Dacot","SF6",2010,NA,NA,2498,182528,0.0136855715287518
"Palanas","CAI",2013,36.2691073087654,22,3280,241056,0.0136067967609186
"SF5","SF3",2012,NA,NA,37857,2904576,0.0130335718535167
"Sitio Tugas","SF2",2011,NA,NA,3132,241056,0.0129928315412186
"SF1","SF3",2014,NA,NA,5493,428544,0.0128178203405018
"Poroc San Flower","SF5",2014,NA,NA,1369,107136,0.012778151135006
"Visca","San Agustin",2010,2.77577160643729,161,1166,91264,0.0127761220196353
"Hicgop South","CAI",2012,38.1530161399208,11,6153,484096,0.0127102888683236
"SF2","CAI",2012,NA,NA,9223,726144,0.0127013374757624
"Pangasugan","SF3",2013,NA,NA,3005,241056,0.0124659830080977
"Poroc Rose","SF5",2012,NA,NA,3014,242048,0.0124520756213644
"Poroc Rose","SF5",2014,NA,NA,1334,107136,0.0124514635603345
"Tamakin Dacot","Haina",2013,1.32935691869812,36,5970,482112,0.0123830147351653
"Sitio Lonas","Hicgop South",2012,4.86139751953595,82,2969,242048,0.0122661620835537
"Tamakin Dacot","Haina",2011,1.32935691869812,36,5903,482112,0.0122440428780035
"SF2","SF3",2014,NA,NA,3932,321408,0.0122336718438869
"Magbangon","SF3",2014,NA,NA,1310,107136,0.012227449223417
"Poroc Rose","Elementary School",2010,5.1630036993143,69,1109,91264,0.0121515603085554
"Sitio Lonas","Sitio Tugas",2014,3.95401082044188,86,1294,107136,0.0120781063321386
"SF1","Caridad Proper",2011,NA,NA,11605,964224,0.0120355850922607
"San Agustin","SF2",2012,NA,NA,2911,242048,0.0120265401903755
"SF1","CAI",2012,NA,NA,11641,968192,0.012023441631412
"San Agustin","San Agustin",2011,0,62,2897,241056,0.0120179543342626
"Poroc San Flower","SF2",2014,NA,NA,1283,107136,0.0119754330943847
"Pangasugan","Elementary School",2010,NA,NA,1091,91264,0.0119543302945302
"Visca","SF2",2010,NA,NA,1088,91264,0.0119214586255259
"San Agustin","San Agustin",2014,0,62,1276,107136,0.0119100955794504
"SF6","SF6",2012,NA,NA,2858,242048,0.011807575356954
"Gabas","Sitio Lonas",2013,5.29391347715393,16,2840,241056,0.0117814947564052
"SF6","SF6",2011,NA,NA,2820,241056,0.0116985264834727
"SF4","SF5",2014,NA,NA,2500,214272,0.0116674133811231
"Elementary School","SF3",2013,NA,NA,2799,241056,0.0116114097968937
"Elementary School","Hicgop South",2011,1.73052315940533,59,2782,241056,0.0115408867649011
"Poroc Rose","Sitio Lonas",2014,2.11528043119948,160,1232,107136,0.0114994026284349
"SF1","Caridad Proper",2014,NA,NA,4915,428544,0.011469067353644
"Sitio Baybayon","Caridad Proper",2014,21.7509719512898,164,2456,214272,0.0114620669056153
"Elementary School","CAI",2013,38.0846165851528,8,2754,241056,0.0114247311827957
"Poroc San Flower","Sitio Lonas",2012,1.17254142021535,15,2763,242048,0.0114150912215759
"Gabas","Sitio Lonas",2011,5.29391347715393,16,2723,241056,0.0112961303597504
"Wangag","Sitio Baybayon",2013,26.862065428135,284,2712,241056,0.0112504978096376
"Gabas","San Agustin",2011,4.69383486209879,24,2687,241056,0.0111467874684721
"SF2","SF2",2011,NA,NA,8058,723168,0.0111426390548254
"SF6","SF5",2014,NA,NA,1185,107136,0.0110607078853047
"Visca","SF5",2014,NA,NA,1170,107136,0.0109206989247312
"SF3","SF2",2012,NA,NA,13116,1210240,0.0108375198307774
"SF4","Sitio Lonas",2012,NA,NA,5246,484096,0.0108366935483871
"Hicgop South","SF3",2013,NA,NA,5179,482112,0.0107423171379265
"Palanas","Caridad Cemetery",2014,5.6928889753735,189,1150,107136,0.0107340203106332
"Sitio Tugas","CAI",2013,38.1435748644816,10,2576,241056,0.0106863135536971
"SF1","SF1",2012,NA,NA,10191,968192,0.0105258047990481
"San Agustin","Sitio Lonas",2011,0.604019027624227,156,2537,241056,0.0105245254214788
"Poroc Rose","San Agustin",2011,1.51127255483946,162,2523,241056,0.0104664476304261
"SF1","Caridad Cemetery",2011,NA,NA,10076,964224,0.0104498539758396
"Caridad Cemetery","Caridad Cemetery",2011,9.49352979660034e-05,62,2518,241056,0.010445705562193
"Magbangon","Sitio Baybayon",2011,25.1134608596041,287,2460,241056,0.010205097570689
"Poroc Rose","SF2",2011,NA,NA,2452,241056,0.010171910261516
"San Agustin","San Agustin",2012,0,62,2458,242048,0.0101550105764146
"Elementary School","Elementary School",2011,0,62,2444,241056,0.010138722952343
"Sitio Baybayon","SF2",2012,NA,NA,4899,484096,0.0101198935748281
"Pangasugan","Sitio Lonas",2010,NA,NA,923,91264,0.0101135168302945
"Gabas","Visca",2012,1.9629852193109,72,2447,242048,0.0101095650449498
"SF4","Sitio Lonas",2011,NA,NA,4868,482112,0.0100972388158768
"Sitio Baybayon","Caridad Cemetery",2014,22.4353813748238,165,2161,214272,0.0100853121266428
"Gabas","Pangasugan",2012,NA,NA,2430,242048,0.0100393310417768
"Poroc Rose","Sitio Lonas",2011,2.11528043119948,160,2394,241056,0.00993130227001195
"Caridad Proper","SF2",2012,NA,NA,2400,242048,0.00991538868323638
"Palanas","SF1",2014,NA,NA,1062,107136,0.00991263440860215
"Sitio Lonas","Elementary School",2014,3.15672946924723,106,1055,107136,0.00984729689366786
"Poroc Rose","CAI",2011,38.5971089154612,4,2371,241056,0.00983588875613965
"Magbangon","SF2",2014,NA,NA,1053,107136,0.00982862903225806
"Magbangon","SF2",2012,NA,NA,2374,242048,0.00980797197250132
"Visca","Sitio Lonas",2011,3.3797826959065,159,2347,241056,0.00973632682862074
"Wangag","SF1",2012,NA,NA,2354,242048,0.00972534373347435
