"source","destination","YearSampled","dist_km","direction","SumParticles","SumParticlesReleasedSource","SourceNormRecruitment"
"SF4","Elementary School","2013",NA,NA,1229,482112,0.00254920018584893
"Poroc San Flower","Sitio Tugas","2012",5.09597019923732,77,615,242048,0.00254081835007932
"Gabas","Elementary School","2013",8.35384165537914,64,611,241056,0.00253468073808576
"Wangag","Cabatoan","2013",2.13420254257553,203,610,241056,0.00253053232443913
"Sitio Baybayon","Magbangon","2012",25.1134608596041,18,1221,484096,0.00252222699629826
"San Agustin","SF5","2013",NA,NA,604,241056,0.00250564184255941
"SF4","SF4","2011",NA,NA,1205,482112,0.00249941922208947
"Hicgop South","Hicgop South","2012",0,62,1208,484096,0.00249537281861449
"SF5","SF4","2013",NA,NA,7214,2892672,0.00249388800389398
"Poroc San Flower","Poroc Rose","2012",0.956338767353715,56,594,242048,0.002454058699101
"Wangag","Magbangon","2012",1.88974564473697,210,593,242048,0.00244992728714966
"Gabas","Poroc Rose","2013",3.19705081559734,34,589,241056,0.00244341563786008
"SF4","Elementary School","2011",NA,NA,1176,482112,0.00243926722421346
