"source","destination","dist_km","direction","CV"
"Sitio Baybayon","SF1",NA,NA,0.782184113015845
"SF5","SF2",NA,NA,0.783449809762531
"SF1","SF1",NA,NA,0.784843196165598
"SF6","SF6",NA,NA,0.785909051899829
"Elementary School","Caridad Proper",4.01495979265945,94,0.787458719437186
"Gabas","Caridad Cemetery",13.0800106975381,73,0.787974207852236
"Caridad Cemetery","Cabatoan",3.03869204915848,149,0.789397899923435
"SF4","SF1",NA,NA,0.789642845829967
"Poroc Rose","Hicgop South",6.89197129622291,67,0.791127237928532
"Poroc Rose","SF5",NA,NA,0.792421554596859
"Visca","Visca",0,62,0.794772584061604
"Palanas","Cabatoan",2.66084320590822,196,0.796238327226039
"Sitio Tugas","Wangag",9.11177076508712,132,0.797492006918122
"SF2","SF1",NA,NA,0.797546152121154
"Visca","Gabas",1.9629852193109,259,0.798710567326555
"Other","SF4",NA,NA,0.800033329612065
"SF3","Magbangon",NA,NA,0.800114659377098
"Cabatoan","SF1",NA,NA,0.800646985850033
"Sitio Tugas","Hicgop South",0.912910872621498,68,0.800711338248289
"Elementary School","Magbangon",7.98442483925902,128,0.801309954946505
"Sitio Tugas","Caridad Proper",3.22263263749314,109,0.801793225303267
"Cabatoan","Caridad Cemetery",3.03869204915848,186,0.804618450045106
"Pangasugan","SF3",NA,NA,0.807613004732271
"Wangag","Caridad Proper",5.91579724335279,192,0.808778792821483
"Wangag","Wangag",9.49352979660034e-05,62,0.817568559640018
"Magbangon","SF2",NA,NA,0.819306324801472
"SF4","SF5",NA,NA,0.820786902719566
"Visca","SF1",NA,NA,0.821848541085719
"Caridad Cemetery","Hicgop South",3.09873007253886,208,0.825659342050009
"Other","SF6",NA,NA,0.826520248231852
"SF3","Sitio Lonas",NA,NA,0.828354118118184
"SF5","Caridad Cemetery",NA,NA,0.82855698720633
"Sitio Baybayon","Cabatoan",24.9105624661144,14,0.828675347267723
"Wangag","Sitio Tugas",9.11177076508712,202,0.83035292853159
"SF1","SF2",NA,NA,0.832916987016836
"Poroc San Flower","SF1",NA,NA,0.833145906286708
"Visca","Cabatoan",13.9687512766746,90,0.833515023208243
"Wangag","SF2",NA,NA,0.835218493411219
"Sitio Lonas","SF2",NA,NA,0.835408052710176
"Pangasugan","SF5",NA,NA,0.839100467419265
"Hicgop South","Caridad Cemetery",3.09873007253886,126,0.839414376882957
"Palanas","Magbangon",2.41391771324467,198,0.841874798238291
"Sitio Baybayon","Palanas",27.2919430069393,28,0.850238517004631
"SF3","Sitio Baybayon",NA,NA,0.851093991763061
"Poroc Rose","Caridad Cemetery",9.9107454183565,80,0.852522586479071
"Elementary School","Sitio Baybayon",18.0747093449379,313,0.852950576457332
"Palanas","Sitio Baybayon",27.2919430069393,282,0.854588138256222
"Sitio Tugas","Magbangon",7.22370627990875,134,0.855648531557722
"SF1","Sitio Tugas",NA,NA,0.857091891910714
"Other","Poroc San Flower",NA,NA,0.857331727028623
"Magbangon","Caridad Proper",4.03826759766962,187,0.857927331262368
"Magbangon","SF1",NA,NA,0.859521992309593
"SF2","Sitio Baybayon",NA,NA,0.859731218015427
"Visca","SF5",NA,NA,0.863146525402144
"Hicgop South","Wangag",8.24594483032354,137,0.865281974834929
"Visca","SF3",NA,NA,0.868600547480362
"Visca","Poroc Rose",1.26450294037349,158,0.87148960469975
"Poroc San Flower","SF5",NA,NA,0.87264950673444
"Other","Poroc Rose",NA,NA,0.873679151668504
"Elementary School","SF1",NA,NA,0.874462977084493
"Pangasugan","Hicgop South",NA,NA,0.875769799141211
"Poroc Rose","SF1",NA,NA,0.876773916330821
"Visca","Caridad Cemetery",11.1170499867974,74,0.880972466242585
"Magbangon","Hicgop South",6.36236340664461,193,0.881166741715194
"Wangag","Caridad Cemetery",5.15903752298336,190,0.887195574371169
"Visca","Caridad Proper",10.3684742357159,70,0.888186871317523
"Gabas","Caridad Proper",12.3313979398098,71,0.889079731730934
"Haina","Visca",11.500479636222,316,0.890006391409591
"Wangag","Sitio Baybayon",26.8620654279672,284,0.891192795712401
"Poroc Rose","SF3",NA,NA,0.891786944564227
"Elementary School","Sitio Lonas",3.15672946924723,228,0.892973291331582
"SF6","Pangasugan",NA,NA,0.894712155846888
"Sitio Baybayon","Hicgop South",19.747308872455,104,0.899614356265645
"Cabatoan","Sitio Tugas",6.97778704506868,201,0.901607382842576
"SF1","Caridad Proper",NA,NA,0.902769219062216
"Sitio Lonas","Sitio Lonas",0,62,0.908435048137923
"Poroc Rose","Magbangon",13.0358421206636,105,0.909150562429908
"Sitio Lonas","Hicgop South",4.86139751953595,82,0.909223882035016
"Poroc San Flower","Palanas",14.623388790225,117,0.910710141264757
"San Agustin","SF5",NA,NA,0.913390336966692
"Elementary School","San Agustin",3.71624288089285,248,0.922726340263085
"SF2","SF3",NA,NA,0.923169075668055
"Poroc Rose","Haina",12.7500613492617,49,0.924197434991401
"Hicgop South","San Agustin",5.43370927160229,255,0.926827544821128
"Hicgop South","Palanas",8.77552677067879,140,0.930236592324257
"Magbangon","Palanas",2.41391771324467,136,0.933688323135054
"Poroc Rose","Gabas",3.19705081559734,277,0.935391405926494
"SF3","SF2",NA,NA,0.936386932646307
"Poroc San Flower","Visca",2.21665869501555,311,0.937385500015816
"SF5","Elementary School",NA,NA,0.938230790641612
"Sitio Tugas","Sitio Baybayon",18.8737442004117,312,0.938610374584003
"Caridad Cemetery","Caridad Proper",0.763632138458259,216,0.94073412068972
"Hicgop South","Poroc San Flower",6.00735397943935,256,0.941319117876651
"Hicgop South","Sitio Lonas",4.86139751953595,249,0.942293980332691
"Sitio Baybayon","Caridad Proper",21.7509719512898,164,0.946688737552243
"SF2","Palanas",NA,NA,0.946906064924476
"Cabatoan","SF3",NA,NA,0.94731187092942
"Poroc San Flower","Magbangon",12.2239561425182,112,0.949302641126793
"SF3","Poroc San Flower",NA,NA,0.951256390041756
"Sitio Tugas","SF2",NA,NA,0.956702306567201
"Elementary School","Poroc San Flower",4.28736209804195,250,0.957997032418301
"Pangasugan","Palanas",NA,NA,0.960865109537356
"Sitio Baybayon","Caridad Cemetery",22.4353813748238,165,0.962209555258012
"Pangasugan","Haina",NA,NA,0.964213411699284
"Caridad Cemetery","SF1",NA,NA,0.965954657203143
"Gabas","Cabatoan",15.9248209877409,85,0.966341223594338
"Cabatoan","Palanas",2.66084320590822,139,0.967839274673655
"Poroc Rose","Tamakin Dacot",11.4429803725633,53,0.971626149573747
"Sitio Baybayon","Sitio Tugas",18.8737442004117,102,0.97196129259937
"SF1","Poroc San Flower",NA,NA,0.972535220049262
"Magbangon","Wangag",1.88974564473697,124,0.972776008436432
"Poroc Rose","Visca",1.26450294037349,303,0.976102473705469
"Caridad Proper","Palanas",6.44791835925525,144,0.97745595128963
"Poroc San Flower","Pangasugan",NA,NA,0.980941703485894
"SF1","Caridad Cemetery",NA,NA,0.981077420034568
"SF3","SF1",NA,NA,0.986006748093769
"Haina","San Agustin",14.246286656046,177,0.986009996672285
"SF5","Cabatoan",NA,NA,0.987305309389022
"Poroc San Flower","Sitio Baybayon",14.2288188911802,45,0.98997598621656
"Caridad Proper","San Agustin",7.72994839109529,242,0.99534361693586
"Pangasugan","Magbangon",NA,NA,0.997096198405144
"SF2","Caridad Cemetery",NA,NA,0.997139571921321
"SF4","Cabatoan",NA,NA,0.99736660072513
"SF5","Gabas",NA,NA,0.998268424063387
"Poroc Rose","Pangasugan",NA,NA,0.99850917913439
"Other","Gabas",NA,NA,0.998585359672151
"SF2","San Agustin",NA,NA,0.999472526748868
"Caridad Proper","Hicgop South",2.33565955110038,205,1.00486705903053
"Cabatoan","San Agustin",11.4243171337323,221,1.00616193771524
"SF1","Wangag",NA,NA,1.0137490626298
"SF2","Caridad Proper",NA,NA,1.01817762420004
"San Agustin","Tamakin Dacot",12.9431079071849,315,1.02193854816993
"Visca","Magbangon",14.2030383569093,91,1.02297957797854
"Sitio Tugas","Palanas",9.63741335627491,135,1.02300496627396
"Sitio Tugas","Elementary School",0.819148876610196,280,1.02356311628717
"Sitio Lonas","Poroc San Flower",1.17254142021535,290,1.02533751259249
"Poroc San Flower","Wangag",14.1110169804677,114,1.02987261088666
"Poroc Rose","CAI",38.5971089154612,4,1.03288821255353
"Sitio Baybayon","SF2",NA,NA,1.03507199011223
"Cabatoan","Poroc San Flower",11.9838137599975,224,1.03767319577184
"Poroc San Flower","Haina",13.7061846175771,50,1.03821229276482
"Elementary School","Poroc Rose",5.1630036993143,262,1.03834460629649
"Sitio Baybayon","Magbangon",25.1134608596041,18,1.03858134079611
"Caridad Proper","Poroc Rose",9.15713870255119,253,1.03967726019888
"Visca","Haina",11.500479636222,48,1.04276823561583
"SF5","Magbangon",NA,NA,1.04429795426998
"Sitio Lonas","Caridad Proper",7.17087278024704,97,1.05164752241836
"SF1","San Agustin",NA,NA,1.05438812033715
"Caridad Cemetery","SF2",NA,NA,1.05616506665276
"Sitio Lonas","Sitio Tugas",3.95401082044188,86,1.05700476837583
"Elementary School","Wangag",9.87412896656161,127,1.05825810679633
"Caridad Proper","SF3",NA,NA,1.05990449619561
"Palanas","SF3",NA,NA,1.06234477597651
"SF3","Wangag",NA,NA,1.06622842075327
"Sitio Tugas","Caridad Cemetery",3.98589537085982,111,1.07196695840933
"Caridad Cemetery","Poroc San Flower",9.05786494633732,243,1.08080676531587
"Magbangon","Sitio Lonas",11.1296663262947,213,1.08389748090111
"Tamakin Dacot","Pangasugan",NA,NA,1.08609771429115
"Pangasugan","Sitio Baybayon",NA,NA,1.0899197214164
"SF2","Sitio Tugas",NA,NA,1.09096782376761
"Caridad Cemetery","San Agustin",8.48939965705146,239,1.09114945829162
"Elementary School","SF5",NA,NA,1.09858199133371
"Wangag","Magbangon",1.88974564473697,210,1.10005101084079
"Cabatoan","Wangag",2.13420254257553,131,1.10612212827218
"Cabatoan","Magbangon",0.249569604975458,151,1.10625442697843
"Palanas","Sitio Tugas",9.63741335627491,199,1.10771432267982
"SF1","Elementary School",NA,NA,1.10909590737123
"Pangasugan","CAI",NA,NA,1.11210385617338
"SF1","SF3",NA,NA,1.11468467586898
"Pangasugan","Wangag",NA,NA,1.12182103129671
"SF5","Caridad Proper",NA,NA,1.12714246268757
"Caridad Proper","Caridad Proper",9.49352979660034e-05,62,1.12807748887663
"Visca","CAI",38.5109343904408,172,1.12926163214936
"Wangag","SF1",NA,NA,1.13121436980675
"Haina","Pangasugan",NA,NA,1.13151458638224
"Magbangon","San Agustin",11.6652303956557,219,1.13259386262173
"Caridad Cemetery","Palanas",5.6928889753735,146,1.13287409529709
"Palanas","SF1",NA,NA,1.13310402357063
"Poroc San Flower","Gabas",4.12137215375566,288,1.13563792103234
"Haina","SF1",NA,NA,1.13616299845665
"Cabatoan","Cabatoan",0,62,1.13645229824176
"Sitio Tugas","Sitio Lonas",3.95401082044188,245,1.13819917852941
"Palanas","Poroc Rose",15.4237354462504,226,1.14005487736902
"Haina","Cabatoan",24.5778997843548,25,1.14451448620968
"Wangag","Hicgop South",8.24594483032354,197,1.14899673068951
"Caridad Proper","Sitio Tugas",3.22263263749314,225,1.15112911020477
"SF4","Tamakin Dacot",NA,NA,1.15334544419741
"San Agustin","Sitio Baybayon",14.7598845132621,46,1.15471196477192
"Visca","Tamakin Dacot",10.1897266320616,51,1.15624182734611
"Hicgop South","Poroc Rose",6.89197129622291,264,1.16189551336975
"Poroc San Flower","CAI",38.8063694633589,5,1.16601372659542
"Cabatoan","Hicgop South",6.11477685668207,194,1.16839259289439
"Magbangon","Sitio Tugas",7.22370627990875,200,1.17174667563341
"Caridad Proper","Sitio Lonas",7.17087278024704,234,1.17200760788253
"Hicgop South","SF5",NA,NA,1.17261530797409
"Elementary School","Elementary School",0,62,1.17338740254576
"Sitio Lonas","Caridad Cemetery",7.93235105602247,101,1.17546887643455
"SF2","SF2",NA,NA,1.17720929581309
"Visca","Sitio Baybayon",12.0358563168247,43,1.17977171435679
"Poroc San Flower","Cabatoan",11.9838137599975,110,1.18102959124153
"Wangag","SF3",NA,NA,1.18122811177788
"SF4","Magbangon",NA,NA,1.18150792075657
"Hicgop South","SF6",NA,NA,1.18208016410638
"Haina","Tamakin Dacot",1.32935692208799,182,1.18244784088868
"Poroc Rose","SF4",NA,NA,1.18695599432695
"Haina","SF2",NA,NA,1.19125330577428
"Poroc Rose","Wangag",14.9177755744702,107,1.19582104693727
"Pangasugan","Tamakin Dacot",NA,NA,1.19600866092554
"Sitio Lonas","Cabatoan",10.8872204466828,120,1.20395267247434
"Hicgop South","Sitio Baybayon",19.747308872455,310,1.20467011146705
"Haina","SF6",NA,NA,1.21036451362618
"Poroc San Flower","SF4",NA,NA,1.21101202558146
"Caridad Proper","Poroc San Flower",8.29929043854204,247,1.21164792145236
"Magbangon","Sitio Baybayon",25.1134608596041,287,1.21351305131063
"Pangasugan","Elementary School",NA,NA,1.21913151277351
"Sitio Tugas","CAI",38.1435748645998,10,1.22716500129719
"Sitio Baybayon","Elementary School",18.0747093449379,65,1.23050017617001
"SF2","Elementary School",NA,NA,1.23477846437404
"Cabatoan","Sitio Baybayon",24.9105624661144,291,1.24036117618502
"Wangag","Cabatoan",2.13420254257553,203,1.24166933247992
"Sitio Lonas","Magbangon",11.1296663262947,121,1.24309717955911
"Caridad Proper","SF1",NA,NA,1.24885405186136
"SF1","Hicgop South",NA,NA,1.24973544410953
"Magbangon","Magbangon",0,62,1.25245328403832
"SF6","SF3",NA,NA,1.25428584743649
"SF6","Visca",NA,NA,1.2592790481418
"Tamakin Dacot","Visca",10.1897266320616,178,1.25962868615029
"Cabatoan","Sitio Lonas",10.8872204466828,214,1.26026809189921
"SF3","Poroc Rose",NA,NA,1.26064605935525
"Elementary School","Palanas",10.3955120225186,130,1.26260132331052
"Sitio Tugas","San Agustin",4.52288186298911,252,1.26449577617407
"Magbangon","Elementary School",7.98442483925902,206,1.26864524354962
"San Agustin","Pangasugan",NA,NA,1.27078308710453
"CAI","Wangag",36.4319242119535,325,1.27306558663904
"Pangasugan","Cabatoan",NA,NA,1.27635167223178
"Haina","SF3",NA,NA,1.27748121219911
"Cabatoan","Pangasugan",NA,NA,1.27791453420922
"Caridad Cemetery","Sitio Tugas",3.98589537085982,223,1.27970724810068
"Palanas","Palanas",0,62,1.28550604801654
"Gabas","Magbangon",16.1581187484931,87,1.28793314758989
"San Agustin","Haina",14.246286656046,52,1.28942740670716
"San Agustin","Wangag",13.5532790749203,116,1.29082539618678
"Palanas","Elementary School",10.3955120225186,204,1.29156163385253
"SF6","Sitio Lonas",NA,NA,1.29222169095262
"Hicgop South","Visca",8.12617156228781,271,1.29320589923959
"Sitio Lonas","San Agustin",0.604019027624227,305,1.29332187828161
"Wangag","Elementary School",9.87412896656161,207,1.29523830989387
