"season","k","theta","mdd","med","dist90","iteration"
"SWM",-2.68639171233326,1.59886856241759,9.27879625480243,7.46,19.78,62
"SWM",-2.33633318984932,1.23182076275921,8.05368784078584,6.01,17.91,63
"SWM",-2.60116630613587,1.6325095178729,8.41279931020785,6.8,17.88,64
"SWM",-2.54875750285082,1.38037107140578,8.9842447149881,6.94,19.61,65
"SWM",-2.61759252950678,1.60684559736517,8.63513467621402,6.95,18.4,66
"SWM",-2.67097459143785,1.74698935444843,8.68298532799126,7.13,18.26,67
"SWM",-2.51191091606661,1.46926466718441,8.25152319938276,6.49,17.83,68
"SWM",-2.06539795605376,0.974450845610035,8.19087579976298,5.62,18.94,69
"SWM",-2.73804016310841,1.93863512217353,8.83467936700443,7.42,18.29,70
"SWM",-2.39461147521961,1.21369124723091,8.66603038221851,6.44,19.32,71
"SWM",-2.64416763958936,1.63398652874151,8.77768737827441,7.09,18.65,72
"SWM",-2.75093059014966,1.80799647082345,9.24226912106176,7.65,19.34,73
"SWM",-2.56478911238207,1.54254061690031,8.40889696060067,6.7,18.03,74
"SWM",-2.76315600010178,1.98827447205355,8.96370730861411,7.57,18.49,75
"SWM",-2.52323703066362,1.38676040391592,8.72501778926818,6.75,19.03,76
"SWM",-1.57077439623743,0.74181162330817,8.31041478507549,5.03,20.05,77
"SWM",-2.51288283937645,1.51104277333795,8.096409322571,6.41,17.42,78
"SWM",-2.25326361857455,1.10827374026978,8.32163726805932,5.99,18.84,79
