comparison,time_scale,data_source,log_like,iteration
gen_total_bio_total,total_years,simulation_subsample,-14399.6488377123,167
gen_annual_bio_annual,annual,simulation_subsample,-6157.48253635328,167
gen_monsoonal_bio_monsoonal,total_monsoons,simulation_subsample,-2136.87214559045,167
gen_monsoonal_bio_total,monsoonal,simulation_subsample,-9171.39320655889,167
gen_total_bio_total,total_years,simulation,-46166.4334265468,168
gen_annual_bio_annual,annual,simulation,-42246.5595738802,168
gen_monsoonal_bio_monsoonal,total_monsoons,simulation,-12649.2822554728,168
gen_monsoonal_bio_total,monsoonal,simulation,-28544.2869667899,168
gen_total_bio_total,total_years,simulation_subsample,-9613.85995436268,168
gen_annual_bio_annual,annual,simulation_subsample,-4709.39284635147,168
gen_monsoonal_bio_monsoonal,total_monsoons,simulation_subsample,-1348.88939387548,168
gen_monsoonal_bio_total,monsoonal,simulation_subsample,-6045.15254965328,168
gen_total_bio_total,total_years,simulation,-45910.2301029847,169
gen_annual_bio_annual,annual,simulation,-41293.42742586,169
gen_monsoonal_bio_monsoonal,total_monsoons,simulation,-13742.8102600216,169
gen_monsoonal_bio_total,monsoonal,simulation,-31500.5382313483,169
gen_total_bio_total,total_years,simulation_subsample,-9290.23422112289,169
gen_annual_bio_annual,annual,simulation_subsample,-3546.53927467486,169
gen_monsoonal_bio_monsoonal,total_monsoons,simulation_subsample,-1341.70197583832,169
gen_monsoonal_bio_total,monsoonal,simulation_subsample,-6563.1345744939,169
gen_total_bio_total,total_years,simulation,-48275.5937535164,170
gen_annual_bio_annual,annual,simulation,-42961.2555559436,170
gen_monsoonal_bio_monsoonal,total_monsoons,simulation,-13399.9510780807,170
gen_monsoonal_bio_total,monsoonal,simulation,-32467.3171087678,170
gen_total_bio_total,total_years,simulation_subsample,-11834.3036799014,170
gen_annual_bio_annual,annual,simulation_subsample,-5386.85339118187,170
gen_monsoonal_bio_monsoonal,total_monsoons,simulation_subsample,-1476.07818131891,170
gen_monsoonal_bio_total,monsoonal,simulation_subsample,-8219.50576165495,170
gen_total_bio_total,total_years,simulation,-44679.9583130716,171
gen_annual_bio_annual,annual,simulation,-42470.2896697831,171
gen_monsoonal_bio_monsoonal,total_monsoons,simulation,-12543.4049106054,171
gen_monsoonal_bio_total,monsoonal,simulation,-30470.7690187396,171
gen_total_bio_total,total_years,simulation_subsample,-13160.9300120496,171
gen_annual_bio_annual,annual,simulation_subsample,-6387.35846869747,171
gen_monsoonal_bio_monsoonal,total_monsoons,simulation_subsample,-1526.17153246237,171
gen_monsoonal_bio_total,monsoonal,simulation_subsample,-8871.55836357415,171
gen_total_bio_total,total_years,simulation,-52311.4226345274,172
gen_annual_bio_annual,annual,simulation,-42147.2874846502,172
gen_monsoonal_bio_monsoonal,total_monsoons,simulation,-14043.0124293752,172
gen_monsoonal_bio_total,monsoonal,simulation,-35853.0109499281,172
gen_total_bio_total,total_years,simulation_subsample,-10563.8126917431,172
gen_annual_bio_annual,annual,simulation_subsample,-5406.85393075185,172
gen_monsoonal_bio_monsoonal,total_monsoons,simulation_subsample,-1185.28016052585,172
gen_monsoonal_bio_total,monsoonal,simulation_subsample,-7352.08808907415,172
gen_total_bio_total,total_years,simulation,-49191.9593327522,173
gen_annual_bio_annual,annual,simulation,-42483.4427583748,173
gen_monsoonal_bio_monsoonal,total_monsoons,simulation,-14866.3308537257,173
gen_monsoonal_bio_total,monsoonal,simulation,-33600.670081599,173
gen_total_bio_total,total_years,simulation_subsample,-14719.4308230856,173
gen_annual_bio_annual,annual,simulation_subsample,-6408.83974482381,173
gen_monsoonal_bio_monsoonal,total_monsoons,simulation_subsample,-1884.81688865059,173
gen_monsoonal_bio_total,monsoonal,simulation_subsample,-10235.8900135747,173
gen_total_bio_total,total_years,simulation,-41833.2731545706,174
gen_annual_bio_annual,annual,simulation,-40471.0933931266,174
gen_monsoonal_bio_monsoonal,total_monsoons,simulation,-13231.4505453986,174
gen_monsoonal_bio_total,monsoonal,simulation,-28028.1859158813,174
gen_total_bio_total,total_years,simulation_subsample,-9132.04213866203,174
gen_annual_bio_annual,annual,simulation_subsample,-4450.0925816682,174
gen_monsoonal_bio_monsoonal,total_monsoons,simulation_subsample,-1546.33848735375,174
gen_monsoonal_bio_total,monsoonal,simulation_subsample,-6046.00348605295,174
gen_total_bio_total,total_years,simulation,-49709.9423524555,175
gen_annual_bio_annual,annual,simulation,-44430.2778454698,175
gen_monsoonal_bio_monsoonal,total_monsoons,simulation,-13634.0239146808,175
gen_monsoonal_bio_total,monsoonal,simulation,-33272.1799932669,175
gen_total_bio_total,total_years,simulation_subsample,-9845.19185718718,175
gen_annual_bio_annual,annual,simulation_subsample,-5711.11201534105,175
gen_monsoonal_bio_monsoonal,total_monsoons,simulation_subsample,-1000.62215555942,175
gen_monsoonal_bio_total,monsoonal,simulation_subsample,-6280.36272817637,175
gen_total_bio_total,total_years,simulation,-40876.4687171432,176
gen_annual_bio_annual,annual,simulation,-38419.0621310609,176
gen_monsoonal_bio_monsoonal,total_monsoons,simulation,-12582.7595021731,176
gen_monsoonal_bio_total,monsoonal,simulation,-27503.2396266835,176
gen_total_bio_total,total_years,simulation_subsample,-12811.265791526,176
gen_annual_bio_annual,annual,simulation_subsample,-5945.29692344847,176
gen_monsoonal_bio_monsoonal,total_monsoons,simulation_subsample,-1361.0116396713,176
gen_monsoonal_bio_total,monsoonal,simulation_subsample,-8652.37377299739,176
gen_total_bio_total,total_years,simulation,-43011.3345578293,177
gen_annual_bio_annual,annual,simulation,-39154.7466011125,177
gen_monsoonal_bio_monsoonal,total_monsoons,simulation,-11607.8886537422,177
gen_monsoonal_bio_total,monsoonal,simulation,-26206.9543983747,177
gen_total_bio_total,total_years,simulation_subsample,-10425.8252796487,177
gen_annual_bio_annual,annual,simulation_subsample,-5576.86539875726,177
gen_monsoonal_bio_monsoonal,total_monsoons,simulation_subsample,-1282.14441252285,177
gen_monsoonal_bio_total,monsoonal,simulation_subsample,-6981.39782409523,177
gen_total_bio_total,total_years,simulation,-48943.3232124272,178
gen_annual_bio_annual,annual,simulation,-40519.5744617305,178
gen_monsoonal_bio_monsoonal,total_monsoons,simulation,-16191.5067678707,178
gen_monsoonal_bio_total,monsoonal,simulation,-33333.2757478977,178
gen_total_bio_total,total_years,simulation_subsample,-12800.7401844493,178
gen_annual_bio_annual,annual,simulation_subsample,-6521.40110071829,178
gen_monsoonal_bio_monsoonal,total_monsoons,simulation_subsample,-2125.44322465287,178
gen_monsoonal_bio_total,monsoonal,simulation_subsample,-8225.35854066856,178
gen_total_bio_total,total_years,simulation,-49237.4744946931,179
gen_annual_bio_annual,annual,simulation,-41656.0920645946,179
gen_monsoonal_bio_monsoonal,total_monsoons,simulation,-13229.2134106578,179
gen_monsoonal_bio_total,monsoonal,simulation,-32808.4317537793,179
gen_total_bio_total,total_years,simulation_subsample,-12503.097542427,179
gen_annual_bio_annual,annual,simulation_subsample,-5882.97521924334,179
gen_monsoonal_bio_monsoonal,total_monsoons,simulation_subsample,-1683.05731722806,179
gen_monsoonal_bio_total,monsoonal,simulation_subsample,-8801.80794945645,179
gen_total_bio_total,total_years,simulation,-48849.1640318031,180
gen_annual_bio_annual,annual,simulation,-41632.2532456517,180
gen_monsoonal_bio_monsoonal,total_monsoons,simulation,-15047.5912526089,180
gen_monsoonal_bio_total,monsoonal,simulation,-34256.5255339788,180
gen_total_bio_total,total_years,simulation_subsample,-9983.31386208674,180
gen_annual_bio_annual,annual,simulation_subsample,-4599.99529435696,180
gen_monsoonal_bio_monsoonal,total_monsoons,simulation_subsample,-1400.31269674524,180
gen_monsoonal_bio_total,monsoonal,simulation_subsample,-7261.72525493162,180
gen_total_bio_total,total_years,simulation,-46616.0941786404,181
gen_annual_bio_annual,annual,simulation,-39328.0431977138,181
gen_monsoonal_bio_monsoonal,total_monsoons,simulation,-12868.7089262517,181
gen_monsoonal_bio_total,monsoonal,simulation,-31813.0074509557,181
gen_total_bio_total,total_years,simulation_subsample,-13542.2564455043,181
gen_annual_bio_annual,annual,simulation_subsample,-6361.85400338241,181
gen_monsoonal_bio_monsoonal,total_monsoons,simulation_subsample,-1778.58895144055,181
gen_monsoonal_bio_total,monsoonal,simulation_subsample,-8886.81202227666,181
gen_total_bio_total,total_years,simulation,-51450.7955425191,182
gen_annual_bio_annual,annual,simulation,-42090.5577643099,182
gen_monsoonal_bio_monsoonal,total_monsoons,simulation,-14927.4346101446,182
gen_monsoonal_bio_total,monsoonal,simulation,-34999.486670062,182
gen_total_bio_total,total_years,simulation_subsample,-9199.35836009704,182
gen_annual_bio_annual,annual,simulation_subsample,-3563.35390178008,182
gen_monsoonal_bio_monsoonal,total_monsoons,simulation_subsample,-1433.13095633808,182
gen_monsoonal_bio_total,monsoonal,simulation_subsample,-6496.05898641772,182
gen_total_bio_total,total_years,simulation,-44440.394191679,183
gen_annual_bio_annual,annual,simulation,-42182.575565495,183
gen_monsoonal_bio_monsoonal,total_monsoons,simulation,-13003.4993151818,183
gen_monsoonal_bio_total,monsoonal,simulation,-29642.3725721804,183
gen_total_bio_total,total_years,simulation_subsample,-13078.4680145293,183
gen_annual_bio_annual,annual,simulation_subsample,-5387.96712599176,183
gen_monsoonal_bio_monsoonal,total_monsoons,simulation_subsample,-1627.98214694597,183
gen_monsoonal_bio_total,monsoonal,simulation_subsample,-8556.27133869061,183
gen_total_bio_total,total_years,simulation,-43645.7349370995,184
gen_annual_bio_annual,annual,simulation,-43490.5808040991,184
gen_monsoonal_bio_monsoonal,total_monsoons,simulation,-12781.5100807358,184
gen_monsoonal_bio_total,monsoonal,simulation,-29090.4282903208,184
gen_total_bio_total,total_years,simulation_subsample,-11512.8268971437,184
gen_annual_bio_annual,annual,simulation_subsample,-6374.13036538186,184
gen_monsoonal_bio_monsoonal,total_monsoons,simulation_subsample,-1084.92421983837,184
gen_monsoonal_bio_total,monsoonal,simulation_subsample,-7831.3185950918,184
gen_total_bio_total,total_years,simulation,-48192.9019633854,185
gen_annual_bio_annual,annual,simulation,-40043.2989290146,185
gen_monsoonal_bio_monsoonal,total_monsoons,simulation,-13938.5446589613,185
gen_monsoonal_bio_total,monsoonal,simulation,-31847.8678523844,185
gen_total_bio_total,total_years,simulation_subsample,-14085.3748593372,185
gen_annual_bio_annual,annual,simulation_subsample,-6598.58589685607,185
gen_monsoonal_bio_monsoonal,total_monsoons,simulation_subsample,-1426.99418348018,185
gen_monsoonal_bio_total,monsoonal,simulation_subsample,-9484.48869426684,185
gen_total_bio_total,total_years,simulation,-49869.0282061676,186
gen_annual_bio_annual,annual,simulation,-43035.0269758601,186
gen_monsoonal_bio_monsoonal,total_monsoons,simulation,-14308.7224128486,186
gen_monsoonal_bio_total,monsoonal,simulation,-32011.0300239963,186
gen_total_bio_total,total_years,simulation_subsample,-10503.9256087115,186
gen_annual_bio_annual,annual,simulation_subsample,-6177.6358852208,186
gen_monsoonal_bio_monsoonal,total_monsoons,simulation_subsample,-1079.59184143209,186
gen_monsoonal_bio_total,monsoonal,simulation_subsample,-6612.59977355554,186
gen_total_bio_total,total_years,simulation,-44299.7894917747,187
gen_annual_bio_annual,annual,simulation,-40223.8931717527,187
gen_monsoonal_bio_monsoonal,total_monsoons,simulation,-11917.8800847383,187
gen_monsoonal_bio_total,monsoonal,simulation,-27559.3927676637,187
gen_total_bio_total,total_years,simulation_subsample,-12583.4119974564,187
gen_annual_bio_annual,annual,simulation_subsample,-5396.89162284156,187
gen_monsoonal_bio_monsoonal,total_monsoons,simulation_subsample,-1430.96579505735,187
gen_monsoonal_bio_total,monsoonal,simulation_subsample,-7884.33796036886,187
gen_total_bio_total,total_years,simulation,-49935.5259913193,188
gen_annual_bio_annual,annual,simulation,-43937.1794374931,188
gen_monsoonal_bio_monsoonal,total_monsoons,simulation,-14977.8339642299,188
gen_monsoonal_bio_total,monsoonal,simulation,-34941.3846463808,188
gen_total_bio_total,total_years,simulation_subsample,-13697.9930087582,188
gen_annual_bio_annual,annual,simulation_subsample,-6495.32758114799,188
gen_monsoonal_bio_monsoonal,total_monsoons,simulation_subsample,-2235.22929674406,188
gen_monsoonal_bio_total,monsoonal,simulation_subsample,-9608.93254183788,188
gen_total_bio_total,total_years,simulation,-49375.1904821806,189
gen_annual_bio_annual,annual,simulation,-38753.3362314688,189
gen_monsoonal_bio_monsoonal,total_monsoons,simulation,-14466.9573950437,189
gen_monsoonal_bio_total,monsoonal,simulation,-34057.5466144538,189
gen_total_bio_total,total_years,simulation_subsample,-13685.8828336289,189
gen_annual_bio_annual,annual,simulation_subsample,-7741.5912010753,189
gen_monsoonal_bio_monsoonal,total_monsoons,simulation_subsample,-2343.67220099462,189
gen_monsoonal_bio_total,monsoonal,simulation_subsample,-9432.1923224158,189
gen_total_bio_total,total_years,simulation,-46212.3112602995,190
gen_annual_bio_annual,annual,simulation,-41239.464312435,190
gen_monsoonal_bio_monsoonal,total_monsoons,simulation,-14636.1067831414,190
gen_monsoonal_bio_total,monsoonal,simulation,-32226.9776011628,190
gen_total_bio_total,total_years,simulation_subsample,-12413.9953898167,190
gen_annual_bio_annual,annual,simulation_subsample,-6825.86816742284,190
gen_monsoonal_bio_monsoonal,total_monsoons,simulation_subsample,-1703.34715281321,190
gen_monsoonal_bio_total,monsoonal,simulation_subsample,-8369.2501605093,190
gen_total_bio_total,total_years,simulation,-48669.544878939,191
gen_annual_bio_annual,annual,simulation,-42856.3195830842,191
gen_monsoonal_bio_monsoonal,total_monsoons,simulation,-13329.4198210567,191
gen_monsoonal_bio_total,monsoonal,simulation,-30501.9912554861,191
gen_total_bio_total,total_years,simulation_subsample,-12009.0258782224,191
gen_annual_bio_annual,annual,simulation_subsample,-5213.82542938606,191
gen_monsoonal_bio_monsoonal,total_monsoons,simulation_subsample,-1456.49722100537,191
gen_monsoonal_bio_total,monsoonal,simulation_subsample,-7541.40006791147,191
gen_total_bio_total,total_years,simulation,-43284.0700751797,192
gen_annual_bio_annual,annual,simulation,-38191.5862366353,192
gen_monsoonal_bio_monsoonal,total_monsoons,simulation,-12542.0862330465,192
gen_monsoonal_bio_total,monsoonal,simulation,-28845.0142444074,192
gen_total_bio_total,total_years,simulation_subsample,-13982.1152135223,192
gen_annual_bio_annual,annual,simulation_subsample,-6724.56438442803,192
gen_monsoonal_bio_monsoonal,total_monsoons,simulation_subsample,-1503.3403134754,192
gen_monsoonal_bio_total,monsoonal,simulation_subsample,-9107.92280496117,192
gen_total_bio_total,total_years,simulation,-46675.4631801794,193
gen_annual_bio_annual,annual,simulation,-42204.4075811758,193
gen_monsoonal_bio_monsoonal,total_monsoons,simulation,-14616.6128724112,193
gen_monsoonal_bio_total,monsoonal,simulation,-32528.5336567237,193
gen_total_bio_total,total_years,simulation_subsample,-14116.2232263036,193
gen_annual_bio_annual,annual,simulation_subsample,-6196.39881154778,193
gen_monsoonal_bio_monsoonal,total_monsoons,simulation_subsample,-2094.93366483368,193
gen_monsoonal_bio_total,monsoonal,simulation_subsample,-9533.07519711016,193
gen_total_bio_total,total_years,simulation,-47780.0785957707,194
gen_annual_bio_annual,annual,simulation,-43688.5515744304,194
gen_monsoonal_bio_monsoonal,total_monsoons,simulation,-13875.7309013058,194
gen_monsoonal_bio_total,monsoonal,simulation,-32213.2755843291,194
gen_total_bio_total,total_years,simulation_subsample,-12467.8815009191,194
gen_annual_bio_annual,annual,simulation_subsample,-6110.12100784859,194
gen_monsoonal_bio_monsoonal,total_monsoons,simulation_subsample,-1354.45538663967,194
gen_monsoonal_bio_total,monsoonal,simulation_subsample,-7681.88968081027,194
gen_total_bio_total,total_years,simulation,-44548.1093414296,195
gen_annual_bio_annual,annual,simulation,-41182.9370141026,195
gen_monsoonal_bio_monsoonal,total_monsoons,simulation,-12483.0809130942,195
gen_monsoonal_bio_total,monsoonal,simulation,-28235.3939049358,195
gen_total_bio_total,total_years,simulation_subsample,-11983.4826684255,195
gen_annual_bio_annual,annual,simulation_subsample,-6386.15380068854,195
gen_monsoonal_bio_monsoonal,total_monsoons,simulation_subsample,-1288.72404173706,195
gen_monsoonal_bio_total,monsoonal,simulation_subsample,-7456.224441993,195
gen_total_bio_total,total_years,simulation,-50984.3206474997,196
gen_annual_bio_annual,annual,simulation,-45367.6584953684,196
gen_monsoonal_bio_monsoonal,total_monsoons,simulation,-14211.2555402709,196
gen_monsoonal_bio_total,monsoonal,simulation,-32282.5006762696,196
gen_total_bio_total,total_years,simulation_subsample,-7583.85672605805,196
gen_annual_bio_annual,annual,simulation_subsample,-3842.57852631063,196
gen_monsoonal_bio_monsoonal,total_monsoons,simulation_subsample,-969.459589700174,196
gen_monsoonal_bio_total,monsoonal,simulation_subsample,-4591.27001156888,196
gen_total_bio_total,total_years,simulation,-48867.3980989316,197
gen_annual_bio_annual,annual,simulation,-39169.680028214,197
gen_monsoonal_bio_monsoonal,total_monsoons,simulation,-15124.0073637416,197
gen_monsoonal_bio_total,monsoonal,simulation,-33726.9511046103,197
gen_total_bio_total,total_years,simulation_subsample,-10763.4319115301,197
gen_annual_bio_annual,annual,simulation_subsample,-6200.64873262062,197
gen_monsoonal_bio_monsoonal,total_monsoons,simulation_subsample,-1480.63500645002,197
gen_monsoonal_bio_total,monsoonal,simulation_subsample,-7191.36179926224,197
gen_total_bio_total,total_years,simulation,-43420.6859210108,198
gen_annual_bio_annual,annual,simulation,-39943.6938542282,198
gen_monsoonal_bio_monsoonal,total_monsoons,simulation,-12190.502224649,198
gen_monsoonal_bio_total,monsoonal,simulation,-28138.3907295662,198
gen_total_bio_total,total_years,simulation_subsample,-15926.5992790751,198
gen_annual_bio_annual,annual,simulation_subsample,-6625.18939437976,198
gen_monsoonal_bio_monsoonal,total_monsoons,simulation_subsample,-1153.42805529466,198
gen_monsoonal_bio_total,monsoonal,simulation_subsample,-10292.3577340221,198
gen_total_bio_total,total_years,simulation,-48504.035412395,199
gen_annual_bio_annual,annual,simulation,-40650.7374339455,199
gen_monsoonal_bio_monsoonal,total_monsoons,simulation,-13112.2732624251,199
gen_monsoonal_bio_total,monsoonal,simulation,-31811.2123900002,199
gen_total_bio_total,total_years,simulation_subsample,-12818.4229203034,199
gen_annual_bio_annual,annual,simulation_subsample,-6454.02103780785,199
gen_monsoonal_bio_monsoonal,total_monsoons,simulation_subsample,-1881.67873525913,199
gen_monsoonal_bio_total,monsoonal,simulation_subsample,-8482.89699446351,199
gen_total_bio_total,total_years,simulation,-44838.877260595,200
gen_annual_bio_annual,annual,simulation,-41116.3698117985,200
gen_monsoonal_bio_monsoonal,total_monsoons,simulation,-13237.9358257847,200
gen_monsoonal_bio_total,monsoonal,simulation,-29746.6376269373,200
gen_total_bio_total,total_years,simulation_subsample,-10724.1363879979,200
gen_annual_bio_annual,annual,simulation_subsample,-4447.23220318601,200
gen_monsoonal_bio_monsoonal,total_monsoons,simulation_subsample,-1064.0995727109,200
gen_monsoonal_bio_total,monsoonal,simulation_subsample,-6958.09277707916,200
gen_total_bio_total,total_years,simulation,-48620.216583969,201
gen_annual_bio_annual,annual,simulation,-44242.6061594913,201
gen_monsoonal_bio_monsoonal,total_monsoons,simulation,-12400.8121412771,201
gen_monsoonal_bio_total,monsoonal,simulation,-31834.6615490319,201
gen_total_bio_total,total_years,simulation_subsample,-13376.320539477,201
gen_annual_bio_annual,annual,simulation_subsample,-5816.49310582655,201
gen_monsoonal_bio_monsoonal,total_monsoons,simulation_subsample,-1513.51881126176,201
gen_monsoonal_bio_total,monsoonal,simulation_subsample,-8861.77256239286,201
gen_total_bio_total,total_years,simulation,-46783.3818660703,202
gen_annual_bio_annual,annual,simulation,-39944.7099145672,202
gen_monsoonal_bio_monsoonal,total_monsoons,simulation,-15052.7821324521,202
gen_monsoonal_bio_total,monsoonal,simulation,-32252.8829842013,202
gen_total_bio_total,total_years,simulation_subsample,-10488.9399283205,202
gen_annual_bio_annual,annual,simulation_subsample,-5316.50926275187,202
gen_monsoonal_bio_monsoonal,total_monsoons,simulation_subsample,-1591.49448454487,202
gen_monsoonal_bio_total,monsoonal,simulation_subsample,-7170.9808241336,202
gen_total_bio_total,total_years,simulation,-47158.8469521187,203
gen_annual_bio_annual,annual,simulation,-42092.3313065375,203
gen_monsoonal_bio_monsoonal,total_monsoons,simulation,-12891.4384728462,203
gen_monsoonal_bio_total,monsoonal,simulation,-29405.9183095674,203
gen_total_bio_total,total_years,simulation_subsample,-13890.4327242556,203
gen_annual_bio_annual,annual,simulation_subsample,-5158.10590277513,203
gen_monsoonal_bio_monsoonal,total_monsoons,simulation_subsample,-1956.32346497292,203
gen_monsoonal_bio_total,monsoonal,simulation_subsample,-8856.33985639129,203
gen_total_bio_total,total_years,simulation,-52605.3342643999,204
gen_annual_bio_annual,annual,simulation,-41716.5237516789,204
gen_monsoonal_bio_monsoonal,total_monsoons,simulation,-14207.0957755148,204
gen_monsoonal_bio_total,monsoonal,simulation,-34914.5104752903,204
gen_total_bio_total,total_years,simulation_subsample,-10380.2435207159,204
gen_annual_bio_annual,annual,simulation_subsample,-6562.94054492832,204
gen_monsoonal_bio_monsoonal,total_monsoons,simulation_subsample,-1447.30334229937,204
gen_monsoonal_bio_total,monsoonal,simulation_subsample,-7017.21179922658,204
gen_total_bio_total,total_years,simulation,-51716.5282765822,205
gen_annual_bio_annual,annual,simulation,-43484.9354313098,205
gen_monsoonal_bio_monsoonal,total_monsoons,simulation,-13040.7199209219,205
gen_monsoonal_bio_total,monsoonal,simulation,-32728.5669782128,205
gen_total_bio_total,total_years,simulation_subsample,-11391.7745701365,205
gen_annual_bio_annual,annual,simulation_subsample,-5678.28402981485,205
gen_monsoonal_bio_monsoonal,total_monsoons,simulation_subsample,-1202.97396172421,205
gen_monsoonal_bio_total,monsoonal,simulation_subsample,-7152.89712439335,205
gen_total_bio_total,total_years,simulation,-47797.3663120974,206
gen_annual_bio_annual,annual,simulation,-40915.439786899,206
gen_monsoonal_bio_monsoonal,total_monsoons,simulation,-13328.2737857232,206
gen_monsoonal_bio_total,monsoonal,simulation,-31019.7551721589,206
gen_total_bio_total,total_years,simulation_subsample,-11370.3496114084,206
gen_annual_bio_annual,annual,simulation_subsample,-5429.96025176807,206
gen_monsoonal_bio_monsoonal,total_monsoons,simulation_subsample,-1253.61548094382,206
gen_monsoonal_bio_total,monsoonal,simulation_subsample,-7235.43046530848,206
gen_total_bio_total,total_years,simulation,-49721.8345757099,207
gen_annual_bio_annual,annual,simulation,-44950.168469394,207
gen_monsoonal_bio_monsoonal,total_monsoons,simulation,-14154.2237305091,207
gen_monsoonal_bio_total,monsoonal,simulation,-34681.9542621545,207
gen_total_bio_total,total_years,simulation_subsample,-13212.6729188658,207
gen_annual_bio_annual,annual,simulation_subsample,-8034.17835315979,207
gen_monsoonal_bio_monsoonal,total_monsoons,simulation_subsample,-1689.99909939636,207
gen_monsoonal_bio_total,monsoonal,simulation_subsample,-9174.99993315838,207
gen_total_bio_total,total_years,simulation,-50901.4405049936,208
gen_annual_bio_annual,annual,simulation,-42458.4835336988,208
gen_monsoonal_bio_monsoonal,total_monsoons,simulation,-16230.7351702738,208
gen_monsoonal_bio_total,monsoonal,simulation,-34988.3062728742,208
gen_total_bio_total,total_years,simulation_subsample,-17324.8330158274,208
gen_annual_bio_annual,annual,simulation_subsample,-8565.21540351447,208
gen_monsoonal_bio_monsoonal,total_monsoons,simulation_subsample,-2598.80555799551,208
gen_monsoonal_bio_total,monsoonal,simulation_subsample,-11852.2105574156,208
gen_total_bio_total,total_years,simulation,-47751.1234600496,209
gen_annual_bio_annual,annual,simulation,-40459.7404598137,209
gen_monsoonal_bio_monsoonal,total_monsoons,simulation,-14165.7973799127,209
gen_monsoonal_bio_total,monsoonal,simulation,-33801.5581321027,209
gen_total_bio_total,total_years,simulation_subsample,-12642.8999569337,209
gen_annual_bio_annual,annual,simulation_subsample,-6960.52219129216,209
gen_monsoonal_bio_monsoonal,total_monsoons,simulation_subsample,-2148.18515071701,209
gen_monsoonal_bio_total,monsoonal,simulation_subsample,-8845.75262156505,209
gen_total_bio_total,total_years,simulation,-51721.1006907957,210
gen_annual_bio_annual,annual,simulation,-43100.2289433712,210
gen_monsoonal_bio_monsoonal,total_monsoons,simulation,-13735.3466962365,210
gen_monsoonal_bio_total,monsoonal,simulation,-34343.8434392254,210
gen_total_bio_total,total_years,simulation_subsample,-8708.24727110791,210
gen_annual_bio_annual,annual,simulation_subsample,-5423.22344962436,210
gen_monsoonal_bio_monsoonal,total_monsoons,simulation_subsample,-1194.97755416157,210
gen_monsoonal_bio_total,monsoonal,simulation_subsample,-6107.19806283425,210
gen_total_bio_total,total_years,simulation,-50082.9127612597,211
gen_annual_bio_annual,annual,simulation,-42959.7910121836,211
gen_monsoonal_bio_monsoonal,total_monsoons,simulation,-13132.3223091166,211
gen_monsoonal_bio_total,monsoonal,simulation,-33354.0948197415,211
gen_total_bio_total,total_years,simulation_subsample,-6594.37923988834,211
gen_annual_bio_annual,annual,simulation_subsample,-4374.16997002829,211
gen_monsoonal_bio_monsoonal,total_monsoons,simulation_subsample,-584.235323073463,211
gen_monsoonal_bio_total,monsoonal,simulation_subsample,-4289.4358760599,211
gen_total_bio_total,total_years,simulation,-50868.2139386463,212
gen_annual_bio_annual,annual,simulation,-39869.0456416763,212
gen_monsoonal_bio_monsoonal,total_monsoons,simulation,-13119.3599212329,212
gen_monsoonal_bio_total,monsoonal,simulation,-34094.4408799372,212
gen_total_bio_total,total_years,simulation_subsample,-11837.7175237375,212
gen_annual_bio_annual,annual,simulation_subsample,-5709.55038554475,212
gen_monsoonal_bio_monsoonal,total_monsoons,simulation_subsample,-1524.33017741027,212
gen_monsoonal_bio_total,monsoonal,simulation_subsample,-8210.63430140381,212
gen_total_bio_total,total_years,simulation,-43862.1754832491,213
gen_annual_bio_annual,annual,simulation,-40414.6918495252,213
gen_monsoonal_bio_monsoonal,total_monsoons,simulation,-12974.6219024431,213
gen_monsoonal_bio_total,monsoonal,simulation,-29899.2728944134,213
gen_total_bio_total,total_years,simulation_subsample,-8000.84707182124,213
gen_annual_bio_annual,annual,simulation_subsample,-4535.48613396451,213
gen_monsoonal_bio_monsoonal,total_monsoons,simulation_subsample,-1280.03280472351,213
gen_monsoonal_bio_total,monsoonal,simulation_subsample,-5770.14455755848,213
gen_total_bio_total,total_years,simulation,-47119.8502785871,214
gen_annual_bio_annual,annual,simulation,-39555.98294515,214
gen_monsoonal_bio_monsoonal,total_monsoons,simulation,-13903.2647518845,214
gen_monsoonal_bio_total,monsoonal,simulation,-32474.1338529119,214
gen_total_bio_total,total_years,simulation_subsample,-13579.3967336649,214
gen_annual_bio_annual,annual,simulation_subsample,-6353.82932920407,214
gen_monsoonal_bio_monsoonal,total_monsoons,simulation_subsample,-1343.13649339036,214
gen_monsoonal_bio_total,monsoonal,simulation_subsample,-8771.37413074086,214
gen_total_bio_total,total_years,simulation,-51298.4954489418,215
gen_annual_bio_annual,annual,simulation,-43049.4256470798,215
gen_monsoonal_bio_monsoonal,total_monsoons,simulation,-15011.8766680954,215
gen_monsoonal_bio_total,monsoonal,simulation,-34916.6473015501,215
gen_total_bio_total,total_years,simulation_subsample,-10727.0023872842,215
gen_annual_bio_annual,annual,simulation_subsample,-5476.26628584595,215
gen_monsoonal_bio_monsoonal,total_monsoons,simulation_subsample,-1241.15224177404,215
gen_monsoonal_bio_total,monsoonal,simulation_subsample,-7042.78276771321,215
gen_total_bio_total,total_years,simulation,-45878.9262746357,216
gen_annual_bio_annual,annual,simulation,-41658.1597822659,216
gen_monsoonal_bio_monsoonal,total_monsoons,simulation,-13553.6534759134,216
gen_monsoonal_bio_total,monsoonal,simulation,-30310.9487946977,216
gen_total_bio_total,total_years,simulation_subsample,-13064.2271610465,216
gen_annual_bio_annual,annual,simulation_subsample,-6217.10129730327,216
