comparison,time_scale,data_source,log_like,iteration
gen_annual_bio_annual,annual,simulation_subsample,-5507.06445563949,33
gen_monsoonal_bio_monsoonal,total_monsoons,simulation_subsample,-1588.09218629227,33
gen_monsoonal_bio_total,monsoonal,simulation_subsample,-7576.30785402712,33
gen_total_bio_total,total_years,simulation,-47281.5338266826,34
gen_annual_bio_annual,annual,simulation,-40526.7561712966,34
gen_monsoonal_bio_monsoonal,total_monsoons,simulation,-13012.5363419302,34
gen_monsoonal_bio_total,monsoonal,simulation,-30721.6345607613,34
gen_total_bio_total,total_years,simulation_subsample,-9985.98884346707,34
gen_annual_bio_annual,annual,simulation_subsample,-4465.70815855856,34
gen_monsoonal_bio_monsoonal,total_monsoons,simulation_subsample,-1202.85424340204,34
gen_monsoonal_bio_total,monsoonal,simulation_subsample,-6721.2755589199,34
gen_total_bio_total,total_years,simulation,-48334.7040312021,35
gen_annual_bio_annual,annual,simulation,-42873.4574350921,35
gen_monsoonal_bio_monsoonal,total_monsoons,simulation,-13314.2241749928,35
gen_monsoonal_bio_total,monsoonal,simulation,-32389.1012607078,35
gen_total_bio_total,total_years,simulation_subsample,-13049.0787949233,35
gen_annual_bio_annual,annual,simulation_subsample,-5567.25159004174,35
gen_monsoonal_bio_monsoonal,total_monsoons,simulation_subsample,-1788.5140597191,35
gen_monsoonal_bio_total,monsoonal,simulation_subsample,-8543.69631104132,35
gen_total_bio_total,total_years,simulation,-43349.7731740392,36
gen_annual_bio_annual,annual,simulation,-40659.9210733486,36
gen_monsoonal_bio_monsoonal,total_monsoons,simulation,-13480.3436181567,36
gen_monsoonal_bio_total,monsoonal,simulation,-29529.4739213601,36
gen_total_bio_total,total_years,simulation_subsample,-13810.6814319242,36
gen_annual_bio_annual,annual,simulation_subsample,-5651.04150776327,36
gen_monsoonal_bio_monsoonal,total_monsoons,simulation_subsample,-1655.40172459934,36
gen_monsoonal_bio_total,monsoonal,simulation_subsample,-9679.04879006021,36
gen_total_bio_total,total_years,simulation,-47893.8047305488,37
gen_annual_bio_annual,annual,simulation,-40599.4362601882,37
gen_monsoonal_bio_monsoonal,total_monsoons,simulation,-12851.1590808376,37
gen_monsoonal_bio_total,monsoonal,simulation,-32297.4521228858,37
gen_total_bio_total,total_years,simulation_subsample,-10468.9314252498,37
gen_annual_bio_annual,annual,simulation_subsample,-3938.98553850144,37
gen_monsoonal_bio_monsoonal,total_monsoons,simulation_subsample,-1366.97502054868,37
gen_monsoonal_bio_total,monsoonal,simulation_subsample,-6987.43407225939,37
gen_total_bio_total,total_years,simulation,-45345.9100284568,38
gen_annual_bio_annual,annual,simulation,-41099.6058366407,38
gen_monsoonal_bio_monsoonal,total_monsoons,simulation,-13956.6032208257,38
gen_monsoonal_bio_total,monsoonal,simulation,-31342.2570635125,38
gen_total_bio_total,total_years,simulation_subsample,-10724.6840566481,38
gen_annual_bio_annual,annual,simulation_subsample,-4986.52424230832,38
gen_monsoonal_bio_monsoonal,total_monsoons,simulation_subsample,-2142.62442019773,38
gen_monsoonal_bio_total,monsoonal,simulation_subsample,-7846.63906409292,38
gen_total_bio_total,total_years,simulation,-45853.8169327372,39
gen_annual_bio_annual,annual,simulation,-40373.4714495642,39
gen_monsoonal_bio_monsoonal,total_monsoons,simulation,-13310.5180278261,39
gen_monsoonal_bio_total,monsoonal,simulation,-30629.0968056521,39
gen_total_bio_total,total_years,simulation_subsample,-11626.0898951073,39
gen_annual_bio_annual,annual,simulation_subsample,-5456.73062049071,39
gen_monsoonal_bio_monsoonal,total_monsoons,simulation_subsample,-1542.89385315505,39
gen_monsoonal_bio_total,monsoonal,simulation_subsample,-7691.74703589381,39
