site,method,time_frame,end_year,total_possible_sample_anems,total_anems_sampled,total_anems_sampled_tidied,total_prop_hab_sampled_anems,total_prop_hab_sampled_anems_tidied
N.Magbangon,metal tags,2012-2015,2015,420,162,126,0.385714285714286,0.3
Palanas,metal tags,2012-2015,2015,552,281,269,0.509057971014493,0.48731884057971
Poroc Rose,metal tags,2012-2015,2015,52,45,39,0.865384615384615,0.75
Poroc San Flower,metal tags,2012-2015,2015,44,42,36,0.954545454545455,0.818181818181818
S.Magbangon,metal tags,2012-2015,2015,136,46,44,0.338235294117647,0.323529411764706
San Agustin,metal tags,2012-2015,2015,72,56,51,0.777777777777778,0.708333333333333
Sitio Baybayon,metal tags,2012-2015,2015,1036,252,203,0.243243243243243,0.195945945945946
Sitio Lonas,metal tags,2012-2015,2015,3,3,0,Inf,1
Sitio Tugas,metal tags,2012-2015,2015,0,9,0,Inf,0
Tamakin Dacot,metal tags,2012-2015,2015,192,43,41,0.223958333333333,0.213541666666667
Visca,metal tags,2012-2015,2015,52,64,34,1.23076923076923,0.653846153846154
Wangag,metal tags,2012-2015,2015,1164,399,373,0.342783505154639,0.320446735395189
Cabatoan,metal tags,2012-2016,2016,130,93,77,0.715384615384615,0.592307692307692
Caridad Cemetery,metal tags,2012-2016,2016,20,9,7,0.45,0.35
Caridad Proper,metal tags,2012-2016,2016,4,4,0,Inf,1
Elementary School,metal tags,2012-2016,2016,35,31,24,0.885714285714286,0.685714285714286
Gabas,metal tags,2012-2016,2016,45,9,8,0.2,0.177777777777778
Haina,metal tags,2012-2016,2016,520,47,43,0.0903846153846154,0.0826923076923077
Hicgop South,metal tags,2012-2016,2016,90,33,32,0.366666666666667,0.355555555555556
N.Magbangon,metal tags,2012-2016,2016,525,241,193,0.459047619047619,0.367619047619048
Palanas,metal tags,2012-2016,2016,690,417,386,0.604347826086957,0.559420289855073
Poroc Rose,metal tags,2012-2016,2016,65,58,42,0.892307692307692,0.646153846153846
Poroc San Flower,metal tags,2012-2016,2016,55,53,42,0.963636363636364,0.763636363636364
S.Magbangon,metal tags,2012-2016,2016,170,70,66,0.411764705882353,0.388235294117647
San Agustin,metal tags,2012-2016,2016,90,71,69,0.788888888888889,0.766666666666667
Sitio Baybayon,metal tags,2012-2016,2016,1295,332,280,0.256370656370656,0.216216216216216
Sitio Lonas,metal tags,2012-2016,2016,3,3,0,Inf,1
Sitio Tugas,metal tags,2012-2016,2016,0,9,0,Inf,0
Tamakin Dacot,metal tags,2012-2016,2016,240,64,58,0.266666666666667,0.241666666666667
Visca,metal tags,2012-2016,2016,65,71,42,1.09230769230769,0.646153846153846
Wangag,metal tags,2012-2016,2016,1455,490,451,0.336769759450172,0.309965635738832
Cabatoan,metal tags,2012-2017,2017,156,93,77,0.596153846153846,0.493589743589744
Caridad Cemetery,metal tags,2012-2017,2017,24,11,9,0.458333333333333,0.375
Caridad Proper,metal tags,2012-2017,2017,4,4,0,Inf,1
Elementary School,metal tags,2012-2017,2017,42,37,30,0.880952380952381,0.714285714285714
Gabas,metal tags,2012-2017,2017,54,19,14,0.351851851851852,0.259259259259259
Haina,metal tags,2012-2017,2017,624,92,101,0.147435897435897,0.161858974358974
Hicgop South,metal tags,2012-2017,2017,108,45,47,0.416666666666667,0.435185185185185
N.Magbangon,metal tags,2012-2017,2017,630,241,193,0.382539682539683,0.306349206349206
Palanas,metal tags,2012-2017,2017,828,507,505,0.61231884057971,0.609903381642512
Poroc Rose,metal tags,2012-2017,2017,78,67,51,0.858974358974359,0.653846153846154
Poroc San Flower,metal tags,2012-2017,2017,66,62,51,0.939393939393939,0.772727272727273
S.Magbangon,metal tags,2012-2017,2017,204,70,66,0.343137254901961,0.323529411764706
San Agustin,metal tags,2012-2017,2017,108,82,85,0.759259259259259,0.787037037037037
Sitio Baybayon,metal tags,2012-2017,2017,1554,403,387,0.259330759330759,0.249034749034749
Sitio Lonas,metal tags,2012-2017,2017,3,3,0,Inf,1
Sitio Tugas,metal tags,2012-2017,2017,0,9,0,Inf,0
Tamakin Dacot,metal tags,2012-2017,2017,288,88,87,0.305555555555556,0.302083333333333
Visca,metal tags,2012-2017,2017,78,82,53,1.05128205128205,0.67948717948718
Wangag,metal tags,2012-2017,2017,1746,595,594,0.34077892325315,0.34020618556701
Cabatoan,metal tags,2012-2018,2018,182,105,93,0.576923076923077,0.510989010989011
Caridad Cemetery,metal tags,2012-2018,2018,28,13,11,0.464285714285714,0.392857142857143
Caridad Proper,metal tags,2012-2018,2018,4,4,0,Inf,1
Elementary School,metal tags,2012-2018,2018,49,41,37,0.836734693877551,0.755102040816326
Gabas,metal tags,2012-2018,2018,63,19,14,0.301587301587302,0.222222222222222
Haina,metal tags,2012-2018,2018,728,169,184,0.232142857142857,0.252747252747253
Hicgop South,metal tags,2012-2018,2018,126,56,61,0.444444444444444,0.484126984126984
N.Magbangon,metal tags,2012-2018,2018,735,245,198,0.333333333333333,0.269387755102041
Palanas,metal tags,2012-2018,2018,966,610,623,0.631469979296066,0.644927536231884
Poroc Rose,metal tags,2012-2018,2018,91,73,60,0.802197802197802,0.659340659340659
Poroc San Flower,metal tags,2012-2018,2018,77,65,58,0.844155844155844,0.753246753246753
S.Magbangon,metal tags,2012-2018,2018,238,91,90,0.382352941176471,0.378151260504202
San Agustin,metal tags,2012-2018,2018,126,96,98,0.761904761904762,0.777777777777778
Sitio Baybayon,metal tags,2012-2018,2018,1813,637,596,0.351351351351351,0.328736900165472
Sitio Lonas,metal tags,2012-2018,2018,3,3,0,Inf,1
Sitio Tugas,metal tags,2012-2018,2018,0,9,0,Inf,0
Tamakin Dacot,metal tags,2012-2018,2018,336,119,120,0.354166666666667,0.357142857142857
Visca,metal tags,2012-2018,2018,91,92,61,1.01098901098901,0.67032967032967
Wangag,metal tags,2012-2018,2018,2037,775,795,0.38046146293569,0.390279823269514
