"site_i","site_j","dist_km"
"Gabas","SF3",11.1554558825158
"Haina","SF3",20.166760620066
"Hicgop South","SF3",1.325973350118
"Magbangon","SF3",5.10244435339064
"Palanas","SF3",7.51483377168381
"Poroc Rose","SF3",7.99029001654483
"Poroc San Flower","SF3",7.14723625189898
"San Agustin","SF3",6.58199005085032
"Sitio Baybayon","SF3",20.5661724359369
"Sitio Lonas","SF3",6.0349896420294
"Sitio Tugas","SF3",2.12802845755469
"Tamakin Dacot","SF3",18.9280249721515
"Visca","SF3",9.19257462056812
"Wangag","SF3",6.99192917195559
"CAI","SF3",37.3969140510318
"SF1","SF3",6.25577215661108
"SF2","SF3",3.00052028835081
"SF3","SF3",0
"SF4","SF3",4.59906323234582
"SF5","SF3",10.4635775991348
"SF6","SF3",17.4591295817173
"Cabatoan","SF4",9.42115226901839
"Caridad Cemetery","SF4",6.51934219686446
"Caridad Proper","SF4",5.76660677846674
"Elementary School","SF4",1.80154965774624
"Gabas","SF4",6.56810544041859
"Haina","SF4",15.8420774243239
"Hicgop South","SF4",3.52776383507376
"Magbangon","SF4",9.66049979905134
"Palanas","SF4",12.0579842592439
"Poroc Rose","SF4",3.39149491478681
"Poroc San Flower","SF4",2.56603198063351
"San Agustin","SF4",2.01850310879165
"Sitio Baybayon","SF4",16.3028816696349
"Sitio Lonas","SF4",1.5468581559545
"Sitio Tugas","SF4",2.61986696765755
"Tamakin Dacot","SF4",14.5658362166854
"Visca","SF4",4.6062957340816
"Wangag","SF4",11.5466070395871
"CAI","SF4",37.9189565190796
"SF1","SF4",10.7687423933588
"SF2","SF4",7.56618674450741
"SF3","SF4",4.59906323234582
"SF4","SF4",0
"SF5","SF4",5.89715075642034
"SF6","SF4",13.6099186103344
"Cabatoan","SF5",15.2065164478531
"Caridad Cemetery","SF5",12.3889775136254
"Caridad Proper","SF5",11.6453532302612
"Elementary School","SF5",7.69386504920144
"Gabas","SF5",0.786379697984382
"Haina","SF5",10.1990333329212
"Hicgop South","SF5",9.42353872418929
"Magbangon","SF5",15.4379685278737
"Palanas","SF5",17.7980970370156
"Poroc Rose","SF5",2.58519281724562
"Poroc San Flower","SF5",3.53621911957386
"San Agustin","SF5",4.09645799848962
"Sitio Baybayon","SF5",10.7481626327945
"Sitio Lonas","SF5",4.70047119839293
"Sitio Tugas","SF5",8.51297843150278
"Tamakin Dacot","SF5",8.88395156870809
"Visca","SF5",1.32069028024012
"Wangag","SF5",17.3049180071651
"CAI","SF5",38.4636529380995
"SF1","SF5",16.4878368787559
"SF2","SF5",13.3721857789625
"SF3","SF5",10.4635775991348
"SF4","SF5",5.89715075642034
"SF5","SF5",0
"SF6","SF5",8.92604243519735
"Cabatoan","SF6",21.4633909541212
"Caridad Cemetery","SF6",19.2363922790127
"Caridad Proper","SF6",18.6090798511156
"Elementary School","SF6",15.2704615045884
"Gabas","SF6",8.83899331975461
"Haina","SF6",4.56875199256689
"Hicgop South","SF6",16.829056296067
"Magbangon","SF6",21.6482339335847
"Palanas","SF6",23.704491144705
"Poroc Rose","SF6",11.0997350035978
"Poroc San Flower","SF6",11.9924187379293
"San Agustin","SF6",12.4409785558962
"Sitio Baybayon","SF6",4.37008822515937
"Sitio Lonas","SF6",12.9892879138939
"Sitio Tugas","SF6",16.0189763626173
"Tamakin Dacot","SF6",4.27206458478638
"Visca","SF6",10.0124909858108
"Wangag","SF6",23.3095272094725
"CAI","SF6",33.7017111454697
"SF1","SF6",22.4201320188277
"SF2","SF6",19.8580093414283
"SF3","SF6",17.4591295817173
"SF4","SF6",13.6099186103344
"SF5","SF6",8.92604243519735
"SF6","SF6",0
