site id_number one_lon two_lon three_lon four_lon one_lat two_lat three_lat four_lat
Sand_Flat1 24578 124.711609289172 124.714489261706 124.714368928436 124.717250026735 10.8657317734766 10.8678817783851 10.8621653903951 10.8643162680587
Sand_Flat1 24324 124.714368928436 124.717250026735 124.717129653364 124.720011878459 10.8621653903951 10.8643162680587 10.858597571266 10.8607493200849
Sand_Flat2 23347 124.728303936732 124.731188870777 124.731070119399 124.73395618748 10.8500398349213 10.8521950565462 10.8464671193981 10.8486232093493
Sand_Flat2 23102 124.731070119399 124.73395618748 124.733837382071 124.736724586362 10.8464671193981 10.8486232093493 10.8428929561405 10.8450499139777
Sand_Flat2 22856 124.733837382071 124.736724586362 124.736605724146 124.739494067084 10.8428929561405 10.8450499139777 10.8393173421619 10.841475167635
Sand_Flat2 22610 124.736605724146 124.739494067084 124.739375145263 124.742264629551 10.8393173421619 10.841475167635 10.835740274148 10.8378989671977
Sand_Flat2 22363 124.739375145263 124.742264629551 124.742145645307 124.745036273915 10.835740274148 10.8378989671977 10.8321617484554 10.8343213092128
Sand_Flat3 21338 124.750463621492 124.753357703578 124.753238440956 124.756133681951 10.8214173838757 10.8235795504499 10.8178329843551 10.8199960210701
Sand_Flat3 21617 124.747689882928 124.750582810163 124.750463621492 124.753357703578 10.8250003077977 10.8271616051264 10.8214173838757 10.8235795504499
Sand_Flat3 21050 124.753238440956 124.756133681951 124.756014342423 124.758910746665 10.8178329843551 10.8199960210701 10.8142471039048 10.8164110118481
Sand_Flat4 18993 124.766883518271 124.769788385251 124.76966463642 124.772570708781 10.7883647992904 10.7905321288853 10.784766620397 10.7869348238453
Sand_Flat4 19280 124.76410348355 124.767007151844 124.766883518271 124.769788385251 10.7919614457841 10.7941279035058 10.7883647992904 10.7905321288853
Sand_Flat4 18714 124.76966463642 124.772570708781 124.772446840476 124.775354125227 10.784766620397 10.7869348238453 10.7811669004829 10.7833359799587
Sand_Flat4 18436 124.772446840476 124.775354125227 124.775230133167 124.77813863763 10.7811669004829 10.7833359799587 10.7775656305395 10.7797355884116
Sand_Flat4 18150 124.772320941731 124.775230133167 124.775104096649 124.778014517469 10.7753966112804 10.7775656305395 10.771792907091 10.7739628011637
Sand_Flat5 15835 124.782932767658 124.785854803984 124.785719473461 124.788642824795 10.7378279598181 10.7400000549434 10.7342078507362 10.7363808116251
Sand_Flat5 15546 124.785719473461 124.788642824795 124.788507252658 124.791431930608 10.7342078507362 10.7363808116251 10.7305860610983 10.7327598906458
Sand_Flat5 15257 124.78558189693 124.788507252658 124.78836941209 124.79129610885 10.7284132554969 10.7305860610983 10.7247889083875 10.7269625761469
Sand_Flat5 15546 124.785719473461 124.788642824795 124.788507252658 124.791431930608 10.7342078507362 10.7363808116251 10.7305860610983 10.7327598906458
Sand_Flat6 15257 124.78558189693 124.788507252658 124.78836941209 124.79129610885 10.7284132554969 10.7305860610983 10.7247889083875 10.7269625761469
Sand_Flat6 14394 124.788086794527 124.791017556935 124.79087475827 124.793806905509 10.7131874246376 10.7153607123696 10.7095561777915 10.7117303155604
Sand_Flat6 14680 124.785299879341 124.788229270592 124.788086794527 124.791017556935 10.7168169199998 10.7189893603076 10.7131874246376 10.7153607123696
Sand_Flat6 14681 124.788229270592 124.791157995519 124.791017556935 124.793947650857 10.7189893603076 10.7211628477704 10.7153607123696 10.7175350577019
Sand_Flat6 14393 124.785155372239 124.788086794527 124.787941949134 124.79087475827 10.7110151961614 10.7131874246376 10.7073831101631 10.7095561777915
Sand_Flat6 14108 124.787941949134 124.79087475827 124.790729563549 124.793663773772 10.7073831101631 10.7095561777915 10.7037492529211 10.7059231621264
Sand_Flat6 13823 124.787794698532 124.790729563549 124.790581935666 124.793518218435 10.7015764267207 10.7037492529211 10.6979399477286 10.7001136063974
Sand_Flat6 13593 124.112318752174 124.115199337269 124.114994445504 124.117874265654 10.2194849987926 10.2215742287311 10.2159125207321 10.2180006536301
Sand_Flat6 12974 124.7902792264 124.79321968238 124.793066621545 124.796008546227 10.6863142419751 10.6884873296961 10.6826706325251 10.6848445343281
Sand_Flat6 13256 124.787492832675 124.790431836393 124.7902792264 124.79321968238 10.6899559978146 10.6921282733176 10.6863142419751 10.6884873296961
Sand_Flat6 11852 124.795540072047 124.798487767308 124.798328412094 124.801277650031 10.6673792942278 10.6695532932596 10.6637264550076 10.6659012472393
Sand_Flat6 12973 124.787338140198 124.7902792264 124.790124065267 124.793066621545 10.6841422777042 10.6863142419751 10.6804978672235 10.6826706325251
Sand_Flat6 12412 124.789966311508 124.792910976914 124.792752705687 124.79569887695 10.6746791638738 10.6768515807688 10.6710301895512 10.6732033968314
Sand_Flat6 12692 124.787180888105 124.790124065267 124.789966311508 124.792910976914 10.6783262394334 10.6804978672235 10.6746791638738 10.6768515807688
Sand_Flat6 12132 124.792752705687 124.79569887695 124.795540072047 124.798487767308 10.6710301895512 10.6732033968314 10.6673792942278 10.6695532932596
