time_scale,time_id,k,theta,mdd,med,dist90,log_like,iteration
interannual,2012-4,-0.105021658410262,0.576268010568481,3.90270139911641,2.03,9.72,-1681055.81416928,8
season,NEM,-0.226022761202897,0.607393110526131,3.71163615445863,2,9.19,-1565624.10132647,8
season,SWM,0.576212273476332,0.418954353336305,7.83463539323421,3.17,19.89,-91045.6820225707,8
annual,2012,-2.16514486541774,4.9851103818029,4.21166766936888,4.01,7.88,-148898.593905231,9
annual,2013,-0.458187445340155,0.628688648076379,4.2149630762942,2.32,10.4,-548685.455031673,9
annual,2014,0.288762318600364,0.52671158465678,3.64600933654069,1.78,9.16,-526930.349106137,9
interannual,2012-4,-0.103765951720537,0.575993524266492,3.90409704269552,2.03,9.73,-1682999.01905153,9
season,NEM,-0.222596235416756,0.606680723577301,3.71255144201735,2,9.2,-1568628.48540117,9
season,SWM,0.587158341522017,0.416923209302999,7.95623229823064,3.2,20.2,-89796.3968310431,9
annual,2012,-2.15674840723324,4.8284264029009,4.18127090678334,3.98,7.84,-149118.093694985,10
annual,2013,-0.454395502790084,0.62826170977499,4.20748941484645,2.31,10.38,-546864.01504695,10
annual,2014,0.280419799655263,0.527927739737277,3.64393896705981,1.78,9.15,-526910.518076427,10
interannual,2012-4,-0.105137996910318,0.576466943738478,3.89859923548258,2.03,9.71,-1679498.95603285,10
season,NEM,-0.22563537626999,0.607492116155128,3.70830828881679,2,9.18,-1563971.23369576,10
season,SWM,0.596947838393742,0.417401250838186,7.82979982176595,3.15,19.88,-91184.3494560455,10
annual,2012,-2.1628316766003,5,4.20151708957386,4.01,7.86,-147417.207260538,11
annual,2013,-0.442336108656419,0.626408076592116,4.19379131540559,2.3,10.35,-548442.366642078,11
annual,2014,0.269548634563685,0.529103315047075,3.65235240641258,1.79,9.17,-526708.803092577,11
interannual,2012-4,-0.106662955525234,0.576502400739896,3.90373662445557,2.03,9.72,-1679027.17766038,11
season,NEM,-0.225352543147195,0.607262144142466,3.71165188357227,2,9.19,-1563067.11726238,11
season,SWM,0.55069795048383,0.421081414674095,7.82096909936032,3.18,19.86,-91499.2717722225,11
annual,2012,-2.15942031681047,4.8560090500189,4.19154743781524,3.99,7.86,-148379.402036298,12
annual,2013,-0.458212395355007,0.628367398926812,4.22146967253932,2.32,10.41,-547040.183559794,12
annual,2014,0.281609781373028,0.527950911573626,3.63898926053006,1.78,9.14,-527866.432708382,12
interannual,2012-4,-0.106718597002739,0.576412980062149,3.90600321939434,2.03,9.73,-1681282.90281104,12
season,NEM,-0.228830137501191,0.607769874641722,3.71486347796703,2,9.2,-1565165.32522863,12
season,SWM,0.585053609078467,0.418360917297499,7.82542997499331,3.16,19.87,-91762.1537831472,12
annual,2012,-2.16009995923981,4.8741987846045,4.19381089595811,3.99,7.86,-148376.194152392,13
annual,2013,-0.447299255923097,0.626608236048224,4.21064181765753,2.31,10.39,-548570.102373865,13
annual,2014,0.282277512910271,0.52766662758153,3.64412521154774,1.78,9.15,-527147.784684268,13
interannual,2012-4,-0.0965306635762567,0.574796365932531,3.90340746381621,2.03,9.73,-1680354.90672954,13
season,NEM,-0.218496321186087,0.605883349587472,3.71264146115911,2,9.2,-1564826.5173775,13
season,SWM,0.633282210499241,0.41410527045743,7.8845642593824,3.15,20.02,-91311.0989289803,13
annual,2012,-2.15841837561565,4.80458564004749,4.18906723259477,3.98,7.86,-148425.899947915,14
annual,2013,-0.444960856728412,0.627394076762117,4.18514616518565,2.3,10.33,-551469.162401769,14
annual,2014,0.294296816644611,0.526250393188707,3.63820765391297,1.78,9.14,-527346.585693658,14
interannual,2012-4,-0.0983637462939975,0.575430572810336,3.89595565232942,2.03,9.71,-1682610.798624,14
season,NEM,-0.218979857853202,0.606365713266376,3.70517557068469,1.99,9.18,-1567331.26424065,14
season,SWM,0.594491860889163,0.417388882929788,7.8503166039916,3.16,19.93,-90848.4577240906,14
annual,2012,-2.16434392129469,5,4.20787561811472,4.01,7.88,-148490.279948189,15
annual,2013,-0.456431403625476,0.628461543289011,4.21208345633871,2.32,10.39,-548264.118223344,15
annual,2014,0.278533424283641,0.527999740945005,3.64889967472397,1.79,9.16,-526232.183853969,15
interannual,2012-4,-0.102529986630895,0.575816480291865,3.90333817732631,2.03,9.72,-1680678.57294342,15
season,NEM,-0.22636087675564,0.607522088653452,3.71042730761884,2,9.19,-1564916.57591173,15
season,SWM,0.636086762065542,0.412922440707268,7.98726506087818,3.18,20.28,-90877.0352154467,15
annual,2012,-2.16351702418627,5,4.20439757612313,4.01,7.87,-147649.465416969,16
annual,2013,-0.474369639686467,0.632067800282084,4.21638406416294,2.33,10.39,-547427.921994995,16
annual,2014,0.293282183800789,0.526308439565503,3.64034482404944,1.78,9.14,-527235.484178157,16
interannual,2012-4,-0.108668635782312,0.576724039583239,3.90649267435648,2.03,9.73,-1681236.30134892,16
season,NEM,-0.229160288844168,0.607762741112461,3.71622641897416,2,9.2,-1565650.08300196,16
season,SWM,0.579459188470549,0.418782440529245,7.82657799034726,3.16,19.87,-91343.4625047759,16
annual,2012,-2.16339102857426,4.97449729227096,4.2045908851817,4.01,7.87,-149350.269350195,17
annual,2013,-0.469400490280013,0.631066485712284,4.21513536168582,2.33,10.39,-550487.962790248,17
annual,2014,0.282171317466914,0.527680120577188,3.64415254053367,1.78,9.15,-527719.032495833,17
interannual,2012-4,-0.102363391759743,0.575946828142331,3.89969601937865,2.03,9.71,-1682416.40741856,17
season,NEM,-0.223028406575443,0.607034850329015,3.70737577075246,2,9.18,-1567475.81705098,17
season,SWM,0.561732058002889,0.41942145503757,7.90123738967826,3.2,20.06,-90165.8758338611,17
annual,2012,-2.1654409101789,4.97339802687971,4.21325032032976,4.02,7.89,-147705.649370394,18
annual,2013,-0.467263399401456,0.630856465240486,4.21027141241505,2.32,10.38,-548837.669630358,18
annual,2014,0.284550683049328,0.527015214626482,3.65324370352641,1.78,9.18,-528072.428460377,18
interannual,2012-4,-0.101168964367307,0.575325808557251,3.90931423932907,2.03,9.74,-1680639.71957305,18
season,NEM,-0.225575458129948,0.607035764812383,3.71681315858354,2,9.21,-1565845.70184567,18
season,SWM,0.673377427446239,0.409265344378836,8.08445347089817,3.2,20.53,-89958.955784068,18
annual,2012,-2.16284164604828,5,4.20155897658873,4.01,7.86,-147473.914769789,19
annual,2013,-0.468268792220007,0.631446588543456,4.20289652831577,2.32,10.36,-552561.491609972,19
annual,2014,0.284782162618252,0.527035880466137,3.65184440133978,1.78,9.17,-525898.087375064,19
interannual,2012-4,-0.100676356604203,0.575676203887757,3.89932838866345,2.03,9.71,-1682490.45525943,19
season,NEM,-0.224881417331147,0.607296549130527,3.70924624606887,2,9.19,-1567313.46927295,19
season,SWM,0.659408001220442,0.411639744428072,7.93852197546186,3.16,20.16,-90674.105997825,19
annual,2012,-2.16324964581813,4.92755361729354,4.20538050765516,4.01,7.88,-148688.819300169,20
annual,2013,-0.449187653843063,0.627214201015434,4.20646372995215,2.31,10.38,-547679.139327216,20
annual,2014,0.284701226160697,0.527181275181752,3.64824765329072,1.78,9.16,-525237.146445941,20
interannual,2012-4,-0.103124258041537,0.575817574157105,3.90563336527317,2.03,9.73,-1679011.71353824,20
season,NEM,-0.227505975925452,0.607545295587822,3.71423500447079,2,9.2,-1563423.86547452,20
season,SWM,0.630475288941841,0.413709923486871,7.94835196056083,3.17,20.18,-90993.9993542444,20
annual,2012,-2.15899494363362,4.8944432027079,4.18854072637761,3.99,7.85,-148942.888355169,21
annual,2013,-0.466275384654462,0.630192887428989,4.21921384338438,2.33,10.4,-548401.916593325,21
annual,2014,0.286103015799386,0.526973732273831,3.64868753627839,1.78,9.16,-526283.625029829,21
interannual,2012-4,-0.108648940254429,0.576849456448832,3.90354547651848,2.03,9.72,-1680287.81042363,21
season,NEM,-0.229909025817316,0.608056359562483,3.71340420882322,2,9.2,-1564236.15729306,21
season,SWM,0.572880513934775,0.419654871786234,7.7902359194996,3.15,19.78,-91803.7036651639,21
annual,2012,-2.16311198664541,5,4.20269498209862,4.01,7.87,-148207.594371112,22
annual,2013,-0.46839519649628,0.631554740146852,4.20130623103171,2.32,10.36,-552282.790218665,22
annual,2014,0.282355240589399,0.527583846755619,3.64604952188801,1.78,9.16,-526007.496957166,22
interannual,2012-4,-0.10982039882286,0.577175530001899,3.90066698027807,2.03,9.71,-1681575.49474117,22
season,NEM,-0.230002129996382,0.608332722991776,3.7084870861498,2,9.18,-1565881.5020784,22
season,SWM,0.561703106761024,0.41952447342288,7.89100801400198,3.19,20.03,-90861.5157848511,22
annual,2012,-2.14842841946311,4.67430552774148,4.15217298292032,3.94,7.81,-150537.223576376,23
annual,2013,-0.45906413320778,0.629335748508774,4.20580874991388,2.32,10.37,-547521.088849259,23
annual,2014,0.283322889105276,0.527130774760595,3.65463266154221,1.79,9.18,-526834.383828653,23
interannual,2012-4,-0.099380495865482,0.575406266881872,3.9004777644845,2.03,9.72,-1680734.7765279,23
season,NEM,-0.221562103616024,0.60655216314061,3.71117762587584,2,9.19,-1564813.19030194,23
season,SWM,0.612613290709162,0.416429892460475,7.80642435859407,3.14,19.82,-91838.397963373,23
annual,2012,-2.16494910535172,5,4.21042292807072,4.01,7.88,-149282.364959846,24
annual,2013,-0.453272646763305,0.627910243803288,4.209763677953,2.32,10.39,-549831.936226827,24
annual,2014,0.271600580951572,0.528902203225089,3.65019798780996,1.79,9.17,-525646.41239902,24
interannual,2012-4,-0.100923900241311,0.57556696521896,3.90280423143276,2.03,9.72,-1680279.89336226,24
season,NEM,-0.224214323217057,0.607034699423801,3.71177790548148,2,9.19,-1564751.44267043,24
season,SWM,0.64490259854992,0.412712154930797,7.93944539731302,3.16,20.16,-91025.1031833841,24
annual,2012,-2.16406624139042,5,4.20670733782738,4.01,7.87,-149112.438910522,25
annual,2013,-0.46677215222845,0.630745787151348,4.21038445736912,2.32,10.38,-549744.714421896,25
annual,2014,0.28016719823709,0.52769257277151,3.65113062937943,1.79,9.17,-527118.484394281,25
interannual,2012-4,-0.108211859409365,0.576814296286626,3.90264362917485,2.03,9.72,-1681463.32277311,25
season,NEM,-0.230255107302714,0.608213602637847,3.71169273452116,2,9.19,-1566509.83950346,25
season,SWM,0.599080412779492,0.416212258138477,7.9353682474222,3.19,20.15,-90264.2512503793,25
annual,2012,-2.15615927873177,4.83264529362536,4.17866779837948,3.97,7.84,-148362.570734885,26
annual,2013,-0.481679795384726,0.633717982457339,4.21490715568327,2.33,10.39,-551814.516011983,26
annual,2014,0.291969924891911,0.526440652839654,3.64157998714353,1.78,9.15,-527134.559428363,26
interannual,2012-4,-0.107739790476407,0.576860853045199,3.8997377808793,2.03,9.71,-1682456.28417252,26
season,NEM,-0.227759252205327,0.607911957926001,3.70817888087596,2,9.18,-1565615.45076141,26
season,SWM,0.564249595743725,0.420282081590068,7.79483684166201,3.16,19.79,-92372.941359542,26
annual,2012,-2.16342042700266,5,4.20399146277349,4.01,7.87,-147819.732034956,27
annual,2013,-0.457583442663415,0.628504431123412,4.21608432629839,2.32,10.4,-547914.663967964,27
annual,2014,0.26478774941453,0.530186733094814,3.64108070642719,1.79,9.14,-528347.341273978,27
interannual,2012-4,-0.104066014426624,0.576099367227369,3.90283918464846,2.03,9.72,-1682336.55885363,27
season,NEM,-0.226313372864574,0.607327026470224,3.71397852096338,2,9.2,-1566827.94673093,27
season,SWM,0.611973789824455,0.416266943299262,7.82810104620622,3.14,19.88,-91425.7971410983,27
annual,2012,-2.16219767771741,4.94447871426377,4.20045232921119,4,7.87,-148609.211360724,28
annual,2013,-0.465799664081729,0.630484952255927,4.21143472716304,2.32,10.39,-550280.273533491,28
annual,2014,0.297412922489894,0.525530945099156,3.64618674145542,1.78,9.16,-527637.712238324,28
interannual,2012-4,-0.0949086084157049,0.574667737228585,3.90004631333911,2.03,9.72,-1683053.79137563,28
season,NEM,-0.214576473255005,0.60538247189855,3.70773569946057,1.99,9.19,-1568429.47274705,28
season,SWM,0.612176924763197,0.415078587429157,7.94972358855542,3.18,20.18,-90053.3751797675,28
annual,2012,-2.15209473186148,4.73897183172921,4.16497783556068,3.95,7.82,-148046.387566702,29
annual,2013,-0.461199019667674,0.630205385354262,4.19760366917008,2.31,10.35,-551300.470538623,29
annual,2014,0.292724138899139,0.526397568663715,3.63998822039872,1.78,9.14,-525920.558809637,29
interannual,2012-4,-0.0965272351230439,0.575317444916797,3.89140226473921,2.02,9.7,-1682623.75934794,29
season,NEM,-0.217915505292314,0.606380087193195,3.70095900298459,1.99,9.17,-1566793.68108243,29
season,SWM,0.630317145545114,0.414334262783064,7.88400700614202,3.15,20.02,-91315.3279694626,29
annual,2012,-2.16263094709182,5,4.20067380575241,4.01,7.86,-147092.011856675,30
annual,2013,-0.443188129409758,0.626113583692031,4.20326277420762,2.31,10.37,-550411.209657216,30
annual,2014,0.285844077533708,0.526956287292651,3.65009973259407,1.78,9.17,-527346.426353071,30
interannual,2012-4,-0.0934378904514179,0.574349985046365,3.90164577300708,2.03,9.72,-1680868.90249237,30
season,NEM,-0.21535091992928,0.605383097997138,3.7105961943257,1.99,9.19,-1565333.52649846,30
season,SWM,0.614680647066169,0.415792219672231,7.85570537595818,3.15,19.95,-91330.1309957306,30
annual,2012,-2.16607227400354,5,4.21515459984971,4.02,7.89,-147591.156072554,31
annual,2013,-0.45796709836494,0.62877773843777,4.2122627610257,2.32,10.39,-547388.773464995,31
annual,2014,0.258515403298758,0.531096735634004,3.64001776476429,1.79,9.14,-531164.765921341,31
interannual,2012-4,-0.105711151676349,0.576343533896894,3.90366139847917,2.03,9.72,-1684237.24783109,31
season,NEM,-0.226811218968902,0.607553641624249,3.71149603005573,2,9.19,-1569631.57054541,31
season,SWM,0.637534582300409,0.412328710562324,8.03933087505167,3.2,20.41,-89758.1999780725,31
annual,2012,-2.16412804908737,5,4.20696735275507,4.01,7.87,-147472.144035143,32
annual,2013,-0.463344818197109,0.630413840145256,4.20250966553545,2.32,10.36,-548030.06119317,32
annual,2014,0.28346520879831,0.527499177707661,3.64426243667278,1.78,9.15,-529785.676075064,32
interannual,2012-4,-0.100823000904648,0.575790780269504,3.89727038516931,2.03,9.71,-1683417.86779738,32
season,NEM,-0.221611655686227,0.606788317690332,3.70683838815982,2,9.18,-1568460.84572192,32
season,SWM,0.606933211083876,0.415787433556136,7.91730104860849,3.18,20.1,-90401.6257535799,32
annual,2012,-2.16502538514337,5,4.21074411050412,4.01,7.88,-148506.60229023,33
annual,2013,-0.467621843123783,0.630386351205194,4.22106639538055,2.33,10.41,-549196.093383464,33
annual,2014,0.273321883601889,0.528867799117878,3.64483221033444,1.79,9.15,-526180.4181016,33
interannual,2012-4,-0.107868169497368,0.576544972722102,3.90746815219838,2.03,9.73,-1680370.63885045,33
season,NEM,-0.231694471776129,0.608278430721867,3.71580301792126,2,9.2,-1565455.1079002,33
season,SWM,0.630600516772679,0.41314554502851,8.00732108737728,3.19,20.33,-90107.8782024443,33
annual,2012,-2.15400470704802,4.7540427117222,4.17239284230682,3.96,7.84,-150639.662940367,34
annual,2013,-0.447014635466492,0.627411291509658,4.19340779328776,2.31,10.35,-549319.570961539,34
annual,2014,0.292178214194684,0.525673582503714,3.6614638932911,1.79,9.2,-526543.421658961,34
interannual,2012-4,-0.101468888715547,0.575751221046809,3.90069663447828,2.03,9.72,-1682234.90833505,34
season,NEM,-0.223105462343035,0.606934463523097,3.70958144672749,2,9.19,-1566439.98449307,34
season,SWM,0.579457936122909,0.418631296189998,7.84187897708593,3.17,19.91,-91335.2200017746,34
annual,2012,-2.16383870343775,5,4.20575026114203,4.01,7.87,-147907.731592195,35
annual,2013,-0.451191285434558,0.62762721567333,4.20664840559073,2.31,10.38,-546532.938943292,35
annual,2014,0.281506686739776,0.527627994478892,3.64796612669357,1.78,9.16,-529004.801462785,35
interannual,2012-4,-0.094685253349887,0.574673123493594,3.89905109591056,2.02,9.72,-1680811.70182869,35
season,NEM,-0.216099813816105,0.605732139514632,3.70665822917567,1.99,9.18,-1565008.28468782,35
season,SWM,0.59695272908195,0.4169430581045,7.87664605025248,3.17,20,-91256.9095611131,35
annual,2012,-2.16249915990558,4.99476687915083,4.20026684779868,4,7.86,-148949.235999521,36
annual,2013,-0.479282506423745,0.633171003587301,4.21548179125269,2.33,10.39,-549543.509418586,36
annual,2014,0.280962805086742,0.527997254795819,3.64011196139788,1.78,9.14,-528252.758885904,36
interannual,2012-4,-0.10845478440816,0.577139066027455,3.89617500764366,2.03,9.7,-1684514.35857796,36
season,NEM,-0.233722045986935,0.608954803249628,3.71046674609449,2,9.19,-1569336.46963002,36
season,SWM,0.666738503059753,0.411962855896323,7.84637514668559,3.12,19.92,-91106.4573134887,36
annual,2012,-2.16145315409504,5,4.19572919399837,4,7.85,-147522.264232312,37
annual,2013,-0.457368552896373,0.629340238809914,4.19859473398522,2.31,10.36,-550466.924159893,37
annual,2014,0.282719786905184,0.527470492784603,3.64774592728811,1.78,9.16,-527619.762927954,37
interannual,2012-4,-0.10445817709288,0.576198507291774,3.90209587256099,2.03,9.72,-1681008.2290833,37
season,NEM,-0.224325394821001,0.607041168831719,3.71206637840632,2,9.19,-1565168.22782989,37
season,SWM,0.582264517841647,0.418751948355357,7.80772535142531,3.15,19.82,-91681.3550861471,37
annual,2012,-2.15652369742321,4.81797028462342,4.18068258486033,3.97,7.84,-150089.028671382,38
annual,2013,-0.456749111386402,0.628641148398068,4.20984890763614,2.32,10.38,-547384.538784242,38
annual,2014,0.289532170952629,0.527148469143864,3.63153909108099,1.77,9.12,-529345.322782056,38
interannual,2012-4,-0.102958922249176,0.576051184909536,3.89962519524211,2.03,9.71,-1682648.78841471,38
season,NEM,-0.224512053017133,0.607287657729489,3.70804624572097,2,9.18,-1568614.65002144,38
season,SWM,0.617325707019585,0.414185681820786,8.00284404544225,3.2,20.32,-89185.5283549957,38
annual,2012,-2.16121850622884,4.89015569936847,4.19799894236237,4,7.87,-147818.966800056,39
annual,2013,-0.4624864218208,0.629989509628137,4.20727258471745,2.32,10.38,-548329.416132921,39
annual,2014,0.288068015012043,0.526874597390537,3.64417578470444,1.78,9.15,-528674.130015159,39
interannual,2012-4,-0.0921957798253508,0.574279953639181,3.89841946655491,2.02,9.71,-1681572.1883738,39
season,NEM,-0.21458027234404,0.605364834486794,3.70808931211014,1.99,9.19,-1565996.88698223,39
season,SWM,0.633105932922244,0.41439741103806,7.85547746166154,3.14,19.95,-91428.5786469862,39
annual,2012,-2.16361429710791,4.99862898240062,4.20484493981316,4.01,7.87,-149057.417586615,40
annual,2013,-0.468583024249249,0.630981965436521,4.21335623505082,2.32,10.39,-549086.658264377,40
annual,2014,0.28965714830725,0.526484163957765,3.6488437651278,1.78,9.17,-527074.677127098,40
interannual,2012-4,-0.106620376804581,0.576571277438404,3.90199329723624,2.03,9.72,-1682142.63059909,40
season,NEM,-0.226829472717422,0.60758468437693,3.71097106924506,2,9.19,-1566066.96852179,40
season,SWM,0.562202302619438,0.420293800315463,7.80964038490794,3.17,19.83,-91664.6654284443,40
annual,2012,-2.16097132935889,4.8809575479298,4.197251714529,3.99,7.87,-148207.07366843,41
annual,2013,-0.463923679355054,0.630090357557081,4.21132924724308,2.32,10.39,-547943.921560978,41
annual,2014,0.255897730840421,0.531332998744944,3.64336063843014,1.79,9.14,-529291.474713562,41
interannual,2012-4,-0.110638720414726,0.577375940446207,3.89928744478646,2.03,9.71,-1682460.1791024,41
season,NEM,-0.233851677879094,0.609024411075737,3.70962684874834,2,9.19,-1566852.67246889,41
season,SWM,0.63445628676969,0.413694009301416,7.91844799032045,3.16,20.11,-90977.2839778008,41
annual,2012,-2.15770479789982,4.78138012995685,4.1868847626302,3.98,7.86,-149168.930128265,42
annual,2013,-0.450432726959681,0.627568996873766,4.2046191430911,2.31,10.37,-547647.153020363,42
annual,2014,0.27907951657341,0.528262478754007,3.63992062538926,1.78,9.14,-528943.259968772,42
interannual,2012-4,-0.100737933051421,0.575624617130533,3.90075347424746,2.03,9.72,-1680516.19371898,42
season,NEM,-0.223338430007266,0.606891596533891,3.71126636787108,2,9.19,-1564721.05770531,42
season,SWM,0.622731036070122,0.415461260819077,7.82670126238319,3.14,19.87,-91668.6195361278,42
annual,2012,-2.16024576799991,4.8911728397226,4.19388547151334,3.99,7.86,-147721.8665296,43
annual,2013,-0.467828734718797,0.630910705038063,4.21158318517109,2.32,10.38,-547013.400059349,43
annual,2014,0.291322397141746,0.526571621021154,3.64043041331606,1.78,9.14,-529709.668477679,43
interannual,2012-4,-0.0994979766713429,0.575340035155665,3.90245982905217,2.03,9.72,-1682827.25014962,43
season,NEM,-0.22277335430944,0.606796622519621,3.71098805067849,2,9.19,-1567914.75689631,43
season,SWM,0.638684344500051,0.412928787591479,7.96586900143152,3.18,20.23,-90273.4880815554,43
annual,2012,-2.15949413844634,4.84371390393049,4.19225941076419,3.99,7.86,-148898.793830215,44
annual,2013,-0.450080085764377,0.627764052947927,4.19925219055084,2.31,10.36,-549010.477846911,44
annual,2014,0.271571693848016,0.529031930708695,3.64686223879143,1.79,9.16,-528437.306937988,44
interannual,2012-4,-0.107965167364509,0.576829714613658,3.90132850485136,2.03,9.72,-1681684.83336548,44
season,NEM,-0.229137519489085,0.60798857461249,3.71183218978308,2,9.19,-1566588.92204916,44
season,SWM,0.585404456391644,0.418141887726716,7.84490157793076,3.16,19.92,-90771.0442789242,44
annual,2012,-2.16542981800197,5,4.21244741819512,4.02,7.88,-148436.778999535,45
annual,2013,-0.470073294423182,0.630913565021587,4.22099046654395,2.33,10.41,-550109.198165246,45
annual,2014,0.268504202981727,0.529606747267622,3.64283574231094,1.79,9.15,-527383.62048878,45
interannual,2012-4,-0.112889413911274,0.577517774220468,3.9048355055196,2.03,9.72,-1683603.69968829,45
season,NEM,-0.234115422231295,0.60882359576996,3.71441949018103,2,9.2,-1568076.45467017,45
season,SWM,0.579035570221002,0.418550560053522,7.85338107028819,3.17,19.94,-91041.7683007045,45
annual,2012,-2.16410433907677,5,4.20686760669702,4.01,7.87,-149385.3584613,46
annual,2013,-0.46688382297495,0.63085629483276,4.20867695241713,2.32,10.38,-551396.175510984,46
annual,2014,0.273472078929634,0.528803222379025,3.64599723923644,1.79,9.16,-527967.084646668,46
interannual,2012-4,-0.106679329290144,0.576633971127118,3.90078867653929,2.03,9.72,-1685044.98713042,46
season,NEM,-0.229259138979103,0.608177370493455,3.70868730736249,2,9.18,-1569750.9780969,46
season,SWM,0.60867595073445,0.415253052190448,7.95927620246529,3.19,20.21,-90363.347751025,46
annual,2012,-2.16289739249421,4.95533376989002,4.20307219131407,4,7.87,-148811.140269127,47
annual,2013,-0.45589281089728,0.628884206934257,4.20142331511996,2.31,10.36,-548501.20398967,47
annual,2014,0.286613672188011,0.527700964369551,3.62744677345083,1.77,9.11,-530083.317635573,47
interannual,2012-4,-0.101869340162539,0.576174232037056,3.89256224203207,2.03,9.7,-1681974.60314595,47
season,NEM,-0.22253426304867,0.607187266648875,3.70263422975357,1.99,9.17,-1567633.17165453,47
season,SWM,0.581181880477778,0.418223417004486,7.86978078458642,3.17,19.98,-89795.8831282741,47
annual,2012,-2.16250123757171,4.90908301268178,4.20279799256604,4,7.88,-148578.428049053,48
annual,2013,-0.448926066253638,0.627333049369128,4.2029912599851,2.31,10.37,-546293.887012793,48
