comparison,time_scale,log_like,iteration
gen_monsoonal_bio_total,monsoonal,-14440.7293521525,27
gen_monsoonal_bio_monsoonal,total_monsoons,-25261.311803141,27
gen_annual_bio_annual,annual,-27879.9256701205,27
gen_total_bio_total,total_years,-39511.9190958473,27
gen_monsoonal_bio_total,monsoonal,-14054.1224007936,28
gen_monsoonal_bio_monsoonal,total_monsoons,-24957.2177287695,28
gen_annual_bio_annual,annual,-33158.1097418448,28
gen_total_bio_total,total_years,-41331.6812812772,28
gen_monsoonal_bio_total,monsoonal,-14929.0539969579,29
gen_monsoonal_bio_monsoonal,total_monsoons,-24724.307892506,29
gen_annual_bio_annual,annual,-29395.9883916353,29
gen_total_bio_total,total_years,-38411.2031980161,29
gen_monsoonal_bio_total,monsoonal,-15224.2464224177,30
gen_annual_bio_annual,annual,-27613.441887352,30
gen_monsoonal_bio_monsoonal,total_monsoons,-27794.9392774314,30
gen_total_bio_total,total_years,-29380.400770387,30
gen_monsoonal_bio_total,monsoonal,-13292.6844850981,31
gen_monsoonal_bio_monsoonal,total_monsoons,-22651.9801417774,31
gen_annual_bio_annual,annual,-25458.193970845,31
gen_total_bio_total,total_years,-39709.6831087733,31
gen_monsoonal_bio_total,monsoonal,-12208.4260568629,32
gen_monsoonal_bio_monsoonal,total_monsoons,-21762.1573938339,32
gen_annual_bio_annual,annual,-23972.6875190428,32
gen_total_bio_total,total_years,-29787.570582224,32
gen_monsoonal_bio_total,monsoonal,-15571.800813424,33
gen_annual_bio_annual,annual,-25979.9996255501,33
gen_monsoonal_bio_monsoonal,total_monsoons,-27628.9935442152,33
gen_total_bio_total,total_years,-28524.2195039573,33
gen_monsoonal_bio_total,monsoonal,-13152.5048774474,34
gen_monsoonal_bio_monsoonal,total_monsoons,-23925.6064743132,34
gen_annual_bio_annual,annual,-26236.3809605709,34
gen_total_bio_total,total_years,-40052.9630494207,34
gen_monsoonal_bio_total,monsoonal,-13801.952205966,35
gen_monsoonal_bio_monsoonal,total_monsoons,-25302.3464454909,35
gen_total_bio_total,total_years,-29209.1017052374,35
gen_annual_bio_annual,annual,-29991.7860265834,35
gen_monsoonal_bio_total,monsoonal,-12501.8739611548,36
gen_monsoonal_bio_monsoonal,total_monsoons,-22193.5355606019,36
gen_annual_bio_annual,annual,-26103.7234490892,36
gen_total_bio_total,total_years,-37870.1688703574,36
gen_monsoonal_bio_total,monsoonal,-13166.1706559976,37
gen_monsoonal_bio_monsoonal,total_monsoons,-22747.837422559,37
gen_annual_bio_annual,annual,-30365.3867118635,37
gen_total_bio_total,total_years,-39350.1597082133,37
gen_monsoonal_bio_total,monsoonal,-13316.2940841232,38
gen_monsoonal_bio_monsoonal,total_monsoons,-23770.6234560095,38
gen_annual_bio_annual,annual,-25843.3133197623,38
gen_total_bio_total,total_years,-27699.0090723328,38
gen_monsoonal_bio_total,monsoonal,-13644.108217163,39
gen_monsoonal_bio_monsoonal,total_monsoons,-23867.6122125681,39
gen_annual_bio_annual,annual,-28363.0003558033,39
gen_total_bio_total,total_years,-38203.3594281003,39
gen_monsoonal_bio_total,monsoonal,-14554.2215821059,40
gen_monsoonal_bio_monsoonal,total_monsoons,-25335.380297881,40
gen_annual_bio_annual,annual,-27791.6649621705,40
gen_total_bio_total,total_years,-28292.8113825078,40
gen_monsoonal_bio_total,monsoonal,-13791.8634298764,41
gen_monsoonal_bio_monsoonal,total_monsoons,-24982.9329157706,41
gen_annual_bio_annual,annual,-29401.0046441792,41
gen_total_bio_total,total_years,-33406.1512286967,41
gen_monsoonal_bio_total,monsoonal,-13059.8795114683,42
gen_monsoonal_bio_monsoonal,total_monsoons,-22405.201228262,42
gen_total_bio_total,total_years,-28458.1023269783,42
gen_annual_bio_annual,annual,-32885.4984873007,42
gen_monsoonal_bio_total,monsoonal,-13649.2877268834,43
gen_monsoonal_bio_monsoonal,total_monsoons,-25488.1574324951,43
gen_total_bio_total,total_years,-30998.4057341663,43
gen_annual_bio_annual,annual,-32794.9535354531,43
gen_monsoonal_bio_total,monsoonal,-13244.2564561853,44
gen_monsoonal_bio_monsoonal,total_monsoons,-25541.7037914668,44
gen_annual_bio_annual,annual,-26572.7189430527,44
gen_total_bio_total,total_years,-27876.2218906414,44
gen_monsoonal_bio_total,monsoonal,-14015.9998494873,45
gen_monsoonal_bio_monsoonal,total_monsoons,-25639.2458845997,45
gen_annual_bio_annual,annual,-28763.4302044954,45
gen_total_bio_total,total_years,-38967.2270917856,45
gen_monsoonal_bio_total,monsoonal,-15947.1663079697,46
gen_monsoonal_bio_monsoonal,total_monsoons,-25720.7794197561,46
gen_total_bio_total,total_years,-27854.0931107693,46
gen_annual_bio_annual,annual,-32566.3530196232,46
gen_monsoonal_bio_total,monsoonal,-12220.2451705094,47
gen_monsoonal_bio_monsoonal,total_monsoons,-23542.6544931745,47
gen_annual_bio_annual,annual,-30035.8335259164,47
gen_total_bio_total,total_years,-39039.1818486817,47
gen_monsoonal_bio_total,monsoonal,-16226.744129557,48
gen_total_bio_total,total_years,-26729.3908052053,48
gen_annual_bio_annual,annual,-26950.5953934932,48
gen_monsoonal_bio_monsoonal,total_monsoons,-27047.9042167839,48
gen_monsoonal_bio_total,monsoonal,-14143.6527494015,49
gen_monsoonal_bio_monsoonal,total_monsoons,-26029.6046296207,49
gen_annual_bio_annual,annual,-27793.9177911601,49
gen_total_bio_total,total_years,-39143.5683495829,49
gen_monsoonal_bio_total,monsoonal,-12453.1569349546,50
gen_monsoonal_bio_monsoonal,total_monsoons,-22565.5583170657,50
gen_annual_bio_annual,annual,-27478.5040350839,50
gen_total_bio_total,total_years,-38596.7401643462,50
gen_monsoonal_bio_total,monsoonal,-10450.0247870791,51
gen_monsoonal_bio_monsoonal,total_monsoons,-20822.9118262041,51
gen_total_bio_total,total_years,-27949.1905975829,51
gen_annual_bio_annual,annual,-30512.7002425006,51
gen_monsoonal_bio_total,monsoonal,-14558.0272451846,52
gen_monsoonal_bio_monsoonal,total_monsoons,-25421.527432967,52
gen_annual_bio_annual,annual,-26361.0531644311,52
gen_total_bio_total,total_years,-28205.1790097219,52
gen_monsoonal_bio_total,monsoonal,-16771.721286877,53
gen_total_bio_total,total_years,-26181.0429904735,53
gen_monsoonal_bio_monsoonal,total_monsoons,-27055.533154423,53
gen_annual_bio_annual,annual,-30144.5344369865,53
gen_monsoonal_bio_total,monsoonal,-11930.6958924869,54
gen_monsoonal_bio_monsoonal,total_monsoons,-22283.8428599053,54
gen_annual_bio_annual,annual,-27620.2396280274,54
gen_total_bio_total,total_years,-28906.2487467582,54
gen_monsoonal_bio_total,monsoonal,-12213.0908790594,55
gen_monsoonal_bio_monsoonal,total_monsoons,-21396.2934805613,55
gen_annual_bio_annual,annual,-33488.5301015404,55
gen_total_bio_total,total_years,-38871.0599786036,55
gen_monsoonal_bio_total,monsoonal,-17071.806321766,56
gen_monsoonal_bio_monsoonal,total_monsoons,-28525.9897642998,56
gen_annual_bio_annual,annual,-32484.6265569644,56
gen_total_bio_total,total_years,-39161.879304536,56
gen_monsoonal_bio_total,monsoonal,-13756.5611287503,57
gen_monsoonal_bio_monsoonal,total_monsoons,-25096.6277070185,57
gen_total_bio_total,total_years,-29207.9639734805,57
gen_annual_bio_annual,annual,-31411.3556228255,57
gen_monsoonal_bio_total,monsoonal,-12557.5957592551,58
gen_monsoonal_bio_monsoonal,total_monsoons,-22375.508931884,58
gen_annual_bio_annual,annual,-27509.1150325996,58
gen_total_bio_total,total_years,-37567.5155516943,58
gen_monsoonal_bio_total,monsoonal,-13776.7824813955,59
gen_monsoonal_bio_monsoonal,total_monsoons,-24073.5868610544,59
gen_annual_bio_annual,annual,-28720.3511292754,59
gen_total_bio_total,total_years,-39998.9128680703,59
gen_monsoonal_bio_total,monsoonal,-13164.2381073564,60
gen_monsoonal_bio_monsoonal,total_monsoons,-22062.0112904392,60
gen_annual_bio_annual,annual,-27917.7317422126,60
gen_total_bio_total,total_years,-39997.3536391315,60
gen_monsoonal_bio_total,monsoonal,-15377.7634481129,61
gen_monsoonal_bio_monsoonal,total_monsoons,-26913.974094148,61
gen_annual_bio_annual,annual,-27475.0489999937,61
gen_total_bio_total,total_years,-39636.9874196011,61
gen_monsoonal_bio_total,monsoonal,-11719.7193247559,62
gen_monsoonal_bio_monsoonal,total_monsoons,-20698.279497976,62
gen_annual_bio_annual,annual,-30247.6312940784,62
gen_total_bio_total,total_years,-37374.7246396359,62
gen_monsoonal_bio_total,monsoonal,-13086.5336612803,63
gen_monsoonal_bio_monsoonal,total_monsoons,-24405.9144007288,63
gen_annual_bio_annual,annual,-35931.6774565043,63
gen_total_bio_total,total_years,-38932.8449403664,63
gen_monsoonal_bio_total,monsoonal,-13683.7629502784,64
gen_monsoonal_bio_monsoonal,total_monsoons,-23524.4993791776,64
gen_annual_bio_annual,annual,-27724.6059316938,64
gen_total_bio_total,total_years,-38589.9250022195,64
gen_monsoonal_bio_total,monsoonal,-15939.0164125807,65
gen_annual_bio_annual,annual,-27365.2434562012,65
gen_monsoonal_bio_monsoonal,total_monsoons,-27590.0977942801,65
gen_total_bio_total,total_years,-38520.0900740468,65
gen_monsoonal_bio_total,monsoonal,-11827.3130674346,66
gen_monsoonal_bio_monsoonal,total_monsoons,-21920.8469578732,66
gen_annual_bio_annual,annual,-30948.3675657076,66
gen_total_bio_total,total_years,-38388.4343855477,66
gen_monsoonal_bio_total,monsoonal,-14412.4205181257,67
gen_monsoonal_bio_monsoonal,total_monsoons,-25586.3843113725,67
gen_annual_bio_annual,annual,-29020.6850858612,67
gen_total_bio_total,total_years,-29382.4242084906,67
gen_monsoonal_bio_total,monsoonal,-15234.5855043303,68
gen_monsoonal_bio_monsoonal,total_monsoons,-27054.3677421532,68
gen_annual_bio_annual,annual,-28747.5286204705,68
gen_total_bio_total,total_years,-41051.0455817764,68
gen_monsoonal_bio_total,monsoonal,-12340.6193943945,69
gen_monsoonal_bio_monsoonal,total_monsoons,-21831.8667056717,69
gen_annual_bio_annual,annual,-27538.1577951534,69
gen_total_bio_total,total_years,-40943.0808164543,69
gen_monsoonal_bio_total,monsoonal,-12793.8885174721,70
gen_monsoonal_bio_monsoonal,total_monsoons,-22333.9524737755,70
gen_annual_bio_annual,annual,-30154.5012502305,70
gen_total_bio_total,total_years,-40355.0024526551,70
gen_monsoonal_bio_total,monsoonal,-13943.8293332275,71
gen_monsoonal_bio_monsoonal,total_monsoons,-25380.8218548205,71
gen_annual_bio_annual,annual,-26876.7767905866,71
gen_total_bio_total,total_years,-28779.1683560263,71
gen_monsoonal_bio_total,monsoonal,-10982.3702840409,72
gen_monsoonal_bio_monsoonal,total_monsoons,-20759.7577956947,72
gen_annual_bio_annual,annual,-26390.0875506679,72
gen_total_bio_total,total_years,-34168.1114358269,72
gen_monsoonal_bio_total,monsoonal,-15000.5626024584,73
gen_monsoonal_bio_monsoonal,total_monsoons,-25251.9441518809,73
gen_annual_bio_annual,annual,-29722.8617874169,73
gen_total_bio_total,total_years,-39411.8948645735,73
gen_monsoonal_bio_total,monsoonal,-13856.5257234891,74
gen_annual_bio_annual,annual,-23591.3515749624,74
gen_monsoonal_bio_monsoonal,total_monsoons,-24757.4761933531,74
gen_total_bio_total,total_years,-38344.0676972169,74
gen_monsoonal_bio_total,monsoonal,-17140.9763377656,75
gen_annual_bio_annual,annual,-26651.5467638166,75
gen_monsoonal_bio_monsoonal,total_monsoons,-28176.5937273724,75
gen_total_bio_total,total_years,-32072.3238131878,75
gen_monsoonal_bio_total,monsoonal,-12081.7792334314,76
gen_monsoonal_bio_monsoonal,total_monsoons,-21747.3364976766,76
gen_annual_bio_annual,annual,-31127.789492949,76
gen_total_bio_total,total_years,-38984.5069413477,76
gen_monsoonal_bio_total,monsoonal,-16631.693806568,77
gen_monsoonal_bio_monsoonal,total_monsoons,-28010.8744800854,77
gen_total_bio_total,total_years,-29229.5860341759,77
gen_annual_bio_annual,annual,-31230.6591386092,77
gen_monsoonal_bio_total,monsoonal,-15946.5137214666,78
gen_monsoonal_bio_monsoonal,total_monsoons,-26094.9752466228,78
gen_total_bio_total,total_years,-27776.1165020175,78
gen_annual_bio_annual,annual,-30077.0765707124,78
gen_monsoonal_bio_total,monsoonal,-13794.3062471394,79
gen_monsoonal_bio_monsoonal,total_monsoons,-23623.932227095,79
gen_annual_bio_annual,annual,-28031.5055971876,79
gen_total_bio_total,total_years,-33415.4423782078,79
gen_monsoonal_bio_total,monsoonal,-13153.9086525765,80
gen_monsoonal_bio_monsoonal,total_monsoons,-23772.7115061041,80
gen_annual_bio_annual,annual,-28933.3767783444,80
gen_total_bio_total,total_years,-39860.2846674303,80
gen_monsoonal_bio_total,monsoonal,-12964.0700280287,81
gen_monsoonal_bio_monsoonal,total_monsoons,-22826.2800227664,81
gen_annual_bio_annual,annual,-24702.9544927896,81
gen_total_bio_total,total_years,-28458.1042980397,81
gen_monsoonal_bio_total,monsoonal,-13890.4307484661,82
gen_monsoonal_bio_monsoonal,total_monsoons,-24601.0393815915,82
gen_total_bio_total,total_years,-26380.8024048341,82
gen_annual_bio_annual,annual,-29996.8745744938,82
gen_monsoonal_bio_total,monsoonal,-14169.1939670329,83
gen_monsoonal_bio_monsoonal,total_monsoons,-24564.0685600482,83
gen_annual_bio_annual,annual,-27715.5809211601,83
gen_total_bio_total,total_years,-40889.4054806093,83
gen_monsoonal_bio_total,monsoonal,-13075.4974108164,84
gen_monsoonal_bio_monsoonal,total_monsoons,-22906.0148683199,84
gen_annual_bio_annual,annual,-25440.1270321219,84
gen_total_bio_total,total_years,-27535.9815792987,84
gen_monsoonal_bio_total,monsoonal,-16534.3388371069,85
gen_annual_bio_annual,annual,-27829.2978168619,85
gen_monsoonal_bio_monsoonal,total_monsoons,-28072.342373996,85
gen_total_bio_total,total_years,-41154.5216044317,85
gen_monsoonal_bio_total,monsoonal,-11410.472243473,86
gen_monsoonal_bio_monsoonal,total_monsoons,-21733.161249933,86
gen_annual_bio_annual,annual,-27583.4715311992,86
gen_total_bio_total,total_years,-28214.3752838141,86
gen_monsoonal_bio_total,monsoonal,-12084.0553612363,87
gen_monsoonal_bio_monsoonal,total_monsoons,-21880.9657851816,87
gen_total_bio_total,total_years,-28129.2119809551,87
gen_annual_bio_annual,annual,-33032.5913426267,87
gen_monsoonal_bio_total,monsoonal,-14696.7806145005,88
gen_monsoonal_bio_monsoonal,total_monsoons,-25590.7847773715,88
gen_annual_bio_annual,annual,-26466.410400181,88
gen_total_bio_total,total_years,-28643.1473738755,88
gen_monsoonal_bio_total,monsoonal,-15248.4080703713,89
gen_monsoonal_bio_monsoonal,total_monsoons,-25429.2898679615,89
gen_annual_bio_annual,annual,-27085.2837453516,89
gen_total_bio_total,total_years,-29428.9726644278,89
gen_monsoonal_bio_total,monsoonal,-14011.78836084,90
gen_monsoonal_bio_monsoonal,total_monsoons,-24978.4473067809,90
gen_total_bio_total,total_years,-28815.5970580671,90
gen_annual_bio_annual,annual,-30298.7040041939,90
gen_monsoonal_bio_total,monsoonal,-16952.2946295335,91
gen_annual_bio_annual,annual,-27020.6016224023,91
gen_monsoonal_bio_monsoonal,total_monsoons,-27751.0359699796,91
gen_total_bio_total,total_years,-35702.3693404486,91
gen_monsoonal_bio_total,monsoonal,-16100.3689406218,92
gen_monsoonal_bio_monsoonal,total_monsoons,-26245.2018635503,92
gen_annual_bio_annual,annual,-28992.3775264767,92
gen_total_bio_total,total_years,-39438.776220687,92
gen_monsoonal_bio_total,monsoonal,-13129.2572581741,93
gen_monsoonal_bio_monsoonal,total_monsoons,-24867.2195676628,93
gen_annual_bio_annual,annual,-26746.6749145499,93
gen_total_bio_total,total_years,-30274.5656136936,93
gen_monsoonal_bio_total,monsoonal,-15287.0573559777,94
gen_monsoonal_bio_monsoonal,total_monsoons,-25977.8912352106,94
gen_total_bio_total,total_years,-27445.6039217586,94
gen_annual_bio_annual,annual,-30002.6877800008,94
gen_monsoonal_bio_total,monsoonal,-15132.3018615092,95
gen_annual_bio_annual,annual,-24130.277686015,95
gen_monsoonal_bio_monsoonal,total_monsoons,-26559.1717200542,95
gen_total_bio_total,total_years,-37588.7983229822,95
gen_monsoonal_bio_total,monsoonal,-16625.3712981724,96
gen_annual_bio_annual,annual,-26769.9280117564,96
gen_monsoonal_bio_monsoonal,total_monsoons,-26819.6884900233,96
gen_total_bio_total,total_years,-39689.8271965281,96
gen_monsoonal_bio_total,monsoonal,-14161.1927781257,97
gen_monsoonal_bio_monsoonal,total_monsoons,-24292.2725508925,97
gen_annual_bio_annual,annual,-34992.0508992984,97
gen_total_bio_total,total_years,-35807.149955199,97
gen_monsoonal_bio_total,monsoonal,-12931.7554956694,98
gen_monsoonal_bio_monsoonal,total_monsoons,-24062.1314700557,98
gen_annual_bio_annual,annual,-25706.4473563963,98
gen_total_bio_total,total_years,-39265.4113026082,98
gen_monsoonal_bio_total,monsoonal,-13288.492977465,99
gen_monsoonal_bio_monsoonal,total_monsoons,-23519.2169345195,99
gen_annual_bio_annual,annual,-25424.8469207241,99
gen_total_bio_total,total_years,-37836.0605933432,99
gen_monsoonal_bio_total,monsoonal,-15429.0488258804,100
gen_annual_bio_annual,annual,-25995.6102530243,100
gen_monsoonal_bio_monsoonal,total_monsoons,-26602.2982492788,100
